time,x_tip,y_tip,z_tip
0,0,0,0.1755
0.05,3.19494643066215e-06,0.000121945301191949,0.175517444135271
0.1,8.75134086654985e-05,0.00116981950780986,0.17563519399998
0.15,0.000445885786060377,0.00365276567977421,0.175754023888086
0.2,0.00126367744452692,0.0070599810354791,0.175863109029273
0.25,0.00258936489692887,0.0105647711332112,0.175913074129767
0.3,0.00441297573345135,0.0144886518634667,0.175849059408422
0.35,0.00679878453451318,0.0194698247430297,0.175528158653454
0.4,0.00981100222602325,0.0249140624429674,0.174870017085589
0.45,0.0133652233279379,0.0299386170990323,0.173990509857283
0.5,0.0172906975481113,0.034584328133469,0.172845748314607
0.55,0.0214751399344319,0.0395105178569053,0.171302260662288
0.6,0.025836813211258,0.0442818291977363,0.169395477335893
0.65,0.0302266951631397,0.0479474411022139,0.167505269555516
0.7,0.0344066563482907,0.0505485839005754,0.16574406492031
0.75,0.0382138260674753,0.0527350007840161,0.163999533351443
0.8,0.0415609202642215,0.0543729476974851,0.162430775473587
0.85,0.0443667485337737,0.0545521603306739,0.161473057461484
0.9,0.0465068452333304,0.0533040265988436,0.161280653638413
0.95,0.0478394725551727,0.0513525294088399,0.16154599884742
1,0.048382351130636,0.0486994362855641,0.162326938086487
1.05,0.0481028677226504,0.0445219888859472,0.163796002441705
1.1,0.047000862730325,0.0387110491635252,0.165846545604607
1.15,0.0450317206454199,0.0321329888491291,0.168013717160395
1.2,0.0423022811543839,0.0249464522614321,0.170072823542423
1.25,0.0388944974006324,0.0164806069958377,0.171991332950263
1.3,0.0349191225728456,0.00664193808788813,0.173459121280012
1.35,0.0305832882637946,-0.00353224061448766,0.174291596586546
1.4,0.0260894498527092,-0.013547248583328,0.174483804144995
1.45,0.0216239511382552,-0.0239824066330486,0.174064443834912
1.5,0.0172506607222667,-0.0349034685634902,0.172766460918321
1.55,0.0132193267887711,-0.0453418799845179,0.170638820520683
1.6,0.00968677047517539,-0.0545815975751237,0.167979265278415
1.65,0.00671054854437941,-0.0631278301387609,0.164745338759703
1.7,0.00427479475951893,-0.07118759649699,0.160988454160026
1.75,0.00242207610511248,-0.0780385360995787,0.157181443467109
1.8,0.00121265200721779,-0.0831954492940118,0.153949563399985
1.85,0.000485944868750145,-0.0871750509837195,0.1511941212528
1.9,8.98268225803299e-05,-0.0904355145091586,0.148764354963123
1.95,-6.25724766716699e-05,-0.0924322062874441,0.147204202752898
2,-1.63298324477224e-05,-0.0927912891222274,0.146902869548211
2.05,6.38660052370792e-05,-0.0919660609037267,0.147570772544809
2.1,-6.2336613650145e-05,-0.0904267159639092,0.148770307563261
2.15,-0.000483222759723868,-0.0876653086145848,0.150839013326087
2.2,-0.00124033477687391,-0.0832086752619043,0.153942140398751
2.25,-0.00242674934845752,-0.0775222195417464,0.157499802874678
2.3,-0.00424698316243783,-0.0711457382790714,0.161003355839182
2.35,-0.00670174442026193,-0.0636869005208939,0.164490247993259
2.4,-0.00971659165126101,-0.0546628984553141,0.167941111161841
2.45,-0.0132221810837897,-0.044741120779254,0.170835072567921
2.5,-0.017228997782116,-0.0347830814042354,0.172793345959424
2.55,-0.0216258004600746,-0.0245772975085493,0.17396361222727
2.6,-0.0261114256371529,-0.0137547727800434,0.17446680109333
2.65,-0.0305720209436545,-0.00291998130603916,0.174300066599421
2.7,-0.0348865781703775,0.00688651710341903,0.17346403248956
2.75,-0.0389260654784862,0.0159122278398406,0.172035724562297
2.8,-0.0423457775530261,0.0246434288964196,0.170123555443367
2.85,-0.0449885524156996,0.0326604139706852,0.167900405396827
2.9,-0.0469383374406325,0.0390598363650814,0.165767376624759
2.95,-0.0481524878595927,0.0440207119338389,0.163946845544984
3,-0.0484652504829031,0.0483400563275301,0.162421266519199
3.05,-0.0477933929580487,0.0518021592142745,0.161396518019666
3.1,-0.0464116376134645,0.0536971961829461,0.161146027734432
3.15,-0.0444005089808734,0.0541267079001041,0.161641658003653
3.2,-0.0416651109938017,0.0539557519799434,0.162566828393552
3.25,-0.0381950601833476,0.0531416238673819,0.16384211113089
3.3,-0.0342991756334765,0.0509874760295967,0.1656126484446
3.35,-0.0302334612382712,0.0475710193049806,0.167629671068613
3.4,-0.0259340020671837,0.0438017635474607,0.169531044813641
3.45,-0.0214971548629312,0.0398580290690493,0.171199425668194
3.5,-0.0171906836715217,0.0351083767850593,0.172731621945976
3.55,-0.0133345036207153,0.0296154514228089,0.174061360601307
3.6,-0.00990434561175388,0.0243702933126111,0.174953254155539
3.65,-0.0068359569224971,0.0197229983491998,0.17549328442213
3.7,-0.00433716697537313,0.0150868079114277,0.175791194457525
3.75,-0.00252945516656568,0.0103493249634942,0.175929476665382
3.8,-0.00134781437347283,0.00644954208321669,0.175891075588038
3.85,-0.000501525550853857,0.00380180881321124,0.175748567375886
3.9,-1.87909789416427e-05,0.00178884150125941,0.175630139481263
3.95,6.3630746467022e-05,5.6833338277402e-05,0.175516920200677
4,-5.94592812994074e-05,-0.000651904935393644,0.175498755881918
