t,p1,p2,p3,amplitude,angle
0,-0,-0,-0,-0,0
0.004004004004004,-0.007381138928985,-0.000529949633655595,-0.00395554470145653,-0.00791108133665341,0
0.00800800800800801,-0.0295198842927109,-0.00211946313665024,-0.0158196753949596,-0.0316393185299857,0
0.012012012012012,-0.0664022247779525,-0.00476753452733499,-0.0355848834322746,-0.0711696942988393,0
0.016016016016016,-0.118004818049076,-0.00847248787705756,-0.06323865967993,-0.12647719040178,0
0.02002002002002,-0.184295005521073,-0.0132319783708338,-0.0987635024360704,-0.197526803470788,0
0.024024024024024,-0.265230833028756,-0.0190429937913506,-0.142136928507058,-0.284273567164434,0
0.028028028028028,-0.360761077378964,-0.0259018564253566,-0.193331487436769,-0.386662580626451,0
0.032032032032032,-0.470825278769044,-0.0338042253912377,-0.252314778879631,-0.504629043231763,0
0.036036036036036,-0.595353779051042,-0.042745099386303,-0.319049473106355,-0.638098295597919,0
0.04004004004004,-0.7342677658174,-0.0527188198520405,-0.393493334629421,-0.786985866836004,0
0.044044044044044,-0.887479322280268,-0.0637190745553435,-0.475599248933346,-0.95119752801113,0
0.048048048048048,-1.05489148291286,-0.0757389015834378,-0.565315252292829,-1.13062935177866,0
0.0520520520520521,-1.2363982948176,-0.0887706937499812,-0.662584564659886,-1.32516777815842,0
0.0560560560560561,-1.43188488478234,-0.102806203409551,-0.767345625599183,-1.53468968640527,0
0.0600600600600601,-1.64122753198199,-0.117836547677465,-0.879532133248801,-1.75906247293057,0
0.0640640640640641,-1.86429374627981,-0.133852214051641,-0.999073086281784,-1.99814413522522,0
0.0680680680680681,-2.10094235207863,-0.150843066432933,-1.12589282884194,-2.25178336173108,0
0.0720720720720721,-2.35102357766895,-0.168798351540127,-1.25991109842538,-2.51981962760408,0
0.0760760760760761,-2.61437915001745,-0.18770670571555,-1.4010430766776,-2.80208329630817,0
0.0800800800800801,-2.89084239493587,-0.207556162116975,-1.54919944307388,-3.09839572697604,0
0.0840840840840841,-3.18023834256685,-0.228334158291278,-1.70428643144901,-3.40856938746849,0
0.0880880880880881,-3.48238383811996,-0.250027544125038,-1.86620588934064,-3.73240797306096,0
0.0920920920920921,-3.79708765778793,-0.272622590167071,-2.03485534010866,-4.06970653068223,0
