time,x_tip,y_tip,z_tip
0,0,0,0.1755
0.05,0.000646746895797974,-4.57960368468035e-11,0.175590877961367
0.1,0.00617865440195596,-4.37509458269231e-10,0.176077269565495
0.15,0.0188881762189952,-1.33746851698604e-09,0.175689600054491
0.2,0.0351162746283184,-2.48657737948406e-09,0.173532327475221
0.25,0.0492494042832555,-3.48734187218595e-09,0.170037876592525
0.3,0.0621861772800619,-4.40339254984542e-09,0.165366670417338
0.35,0.0759919137855679,-5.38097437660987e-09,0.15845528520668
0.4,0.087248007115729,-6.17801640864847e-09,0.151145358316693
0.45,0.0922750925169264,-6.53398349667832e-09,0.14735007235175
0.5,0.0925040534956892,-6.55019622443004e-09,0.147097277676108
0.55,0.0919006172452012,0.000105534756067274,0.147660156999694
0.6,0.092319163401159,0.0010232169677951,0.147241171418509
0.65,0.0927449812237809,0.00324380801557577,0.146922510620429
0.7,0.0923296954161559,0.00633428256089987,0.147113985343903
0.75,0.0914533190866582,0.00964343426673007,0.147531662685069
0.8,0.0913029976376988,0.0136157768367217,0.147344842065414
0.85,0.0909523200958423,0.0187960556383609,0.146786280693916
0.9,0.0892401000659069,0.0248097981284135,0.147098794696062
0.95,0.0867650925925507,0.0308961674080453,0.147427136224329
1,0.0844321889732358,0.0373469439919393,0.147282021769059
1.05,0.0815482439077697,0.0445845472069962,0.146827953002185
1.1,0.0766152158372232,0.052276302675199,0.146895729635548
1.15,0.0704785287534599,0.0596003376721273,0.147367823461707
1.2,0.0640821767165261,0.0665607642579206,0.147167903343857
1.25,0.056866456979429,0.0735165002642014,0.146832955969788
1.3,0.0472815841667622,0.079950523198357,0.146839474626845
1.35,0.0362597331882546,0.0851531867232068,0.147090129839121
1.4,0.0251865069368325,0.089049903635705,0.147149763184932
1.45,0.0137448089538943,0.0918405694174044,0.146810381123993
1.5,0.000391890365583067,0.092966360682976,0.146828616278916
1.55,-0.0137758594298752,0.0918041458072559,0.146870418573595
1.6,-0.0270264908854303,0.0887307453063341,0.146939124958904
1.65,-0.0393475334309798,0.0839837426851728,0.146980278711717
1.7,-0.0520361555228999,0.0769897275555053,0.146778564272357
1.75,-0.0642507866651374,0.0673883274114082,0.146723502521239
1.8,-0.0740592518844938,0.0561978857866531,0.146732997125884
1.85,-0.081532001890675,0.0440367191461163,0.147049485951848
1.9,-0.0876649442574656,0.0303533117342407,0.146923487066541
1.95,-0.0920394179188256,0.015151324837207,0.146550341868403
2,-0.0931560483482598,-0.000409873873526364,0.146622601802374
2.05,-0.0913750955283749,-0.015137101299943,0.147063977732438
2.1,-0.0877433045332709,-0.0296708573817693,0.147040658958971
2.15,-0.0822639363458081,-0.0439035306753569,0.146580003369359
2.2,-0.0739329462317912,-0.0568550651227693,0.146529995691971
2.25,-0.0634136881720158,-0.0675159714060572,0.147059804475311
2.3,-0.0521639958990009,-0.0764218765051601,0.147132924377555
2.35,-0.0402667898930614,-0.0839131739539443,0.146674801409853
2.4,-0.0269585417802776,-0.0892207514999763,0.146624968551701
2.45,-0.0128145501941391,-0.0917966871202639,0.146977074145283
2.5,0.000440849863536463,-0.0924835786175244,0.147178130191493
2.55,0.0127586530992242,-0.0919637307785685,0.146871080442532
2.6,0.0250710324559547,-0.0895532586318936,0.146738007608701
2.65,0.0371851716659557,-0.08494647137282,0.147016795543774
2.7,0.0474746069311979,-0.0793885153820103,0.147086858992019
2.75,0.0560011798776174,-0.0737585369494993,0.147113810500675
2.8,0.0638931188002542,-0.0672093741038026,0.146920602232007
2.85,0.0712087808768922,-0.059358174539565,0.147010537131229
2.9,0.0768766825182854,-0.0515273542024763,0.147116718162907
2.95,0.080809530267416,-0.0448356105339097,0.147166936761413
3,0.0842698274872908,-0.0381084112061168,0.147221159274489
3.05,0.0873859314177739,-0.0307410954050197,0.146968577044717
3.1,0.0894221904574742,-0.0239747270167286,0.147145145112771
3.15,0.0903387840549386,-0.0188994849367287,0.147257960004561
3.2,0.0911519013369859,-0.0144740133821205,0.147320143150924
3.25,0.0920671441955782,-0.00960395977343545,0.14711112396269
3.3,0.0924257160680221,-0.0054633961956371,0.147027029212725
3.35,0.0921913737259885,-0.00322818832654965,0.147401601913174
3.4,0.0921622819241799,-0.00186600633853597,0.147331286091206
3.45,0.092536485959356,-0.000222067086926431,0.147162157477758
3.5,0.0925718144002755,0.000873262393394588,0.14705708380056
3.55,0.0917334435677111,0.000149991486197784,0.147748543753176
3.6,0.0870677954470532,-0.000843462167465956,0.15129307814628
3.65,0.0766975294620729,-0.000223559129804505,0.158017871667203
3.7,0.0623237397726223,0.000839269915420596,0.165307997497385
3.75,0.0485436000894176,0.000286910206519403,0.170294696013435
3.8,0.0348495535761057,-0.000801487634268205,0.17357318100834
3.85,0.0196293151986089,-0.000371338776464668,0.175609223584869
3.9,0.00655603550533932,0.000759128911596723,0.176045560380691
3.95,-0.000107582290411346,0.000472322995681947,0.175604932536515
4,-0.000415288505736796,-0.000743914258511535,0.17548199274373
