x_0,x_1,x_2,x_4,x_10,y_0,y_1,y_2,y_4,y_10,z_0,z_1,z_2,z_4,z_10
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.392699081698724,0.392343208672196,0.391379356184536,0.388305430289974,0.375042905256077,0,-0.0268450869480507,-0.052834232121685,-0.101854852364024,-0.236044185260013,0,0,0,0,0
0.785398163397448,0.783715236251153,0.779236110149375,0.765521992799208,0.711621511158431,0,-0.0665382495227273,-0.129500300409768,-0.242969618211987,-0.52824629412104,0,0,0,0,0
1.17809724509617,1.17390864653157,1.16293061661234,1.13052689885284,1.01349187245085,0,-0.117512561586158,-0.226716719468757,-0.416229435127937,-0.858578797292216,0,0,0,0,0
1.5707963267949,1.56279831592122,1.54212181422585,1.48308148391158,1.28558265800132,0,-0.178211149485214,-0.341279458259182,-0.615040969166241,-1.21297594042165,0,0,0,0,0
1.96349540849362,1.95041552999106,1.917019306848,1.82447506252748,1.53515032622836,0,-0.247100091373367,-0.470149399949953,-0.833779260873808,-1.58321216209719,0,0,0,0,0
2.35619449019234,2.33684954883689,2.28801807605535,2.15635543686797,1.76865747177253,0,-0.322660249029242,-0.610387067133625,-1.0673112699721,-1.96276361941378,0,0,0,0,0
2.74889357189107,2.72229529468689,2.65585438111471,2.4811105139921,1.99278030993813,0,-0.40339599562962,-0.759206590408102,-1.3112194033216,-2.34753376109568,0,0,0,0,0
3.14159265358979,3.10698332426507,3.02136436385133,2.80124305284365,2.21369882138449,0,-0.487824256090898,-0.913899016127797,-1.56138306211627,-2.73391823173473,0,0,0,0,0
3.53429173528852,3.49120196824317,3.38555303930813,3.11953064451397,2.43758079049151,0,-0.574477668112501,-1.07184847737033,-1.81401432944768,-3.11873197162737,0,0,0,0,0
3.92699081698724,3.87525460463382,3.74946080312186,3.43877009151851,2.6707575245386,0,-0.661895026266744,-1.2304715678161,-2.06539942041198,-3.49864797135441,0,0,0,0,0
4.31968989868597,4.25945649406346,4.11414706229272,3.76170537640235,2.91955057084954,0,-0.748618617392635,-1.38719615756841,-2.31175696920975,-3.86906318723999,0,0,0,0,0
4.71238898038469,4.64411822306502,4.48065076736234,4.09103791241586,3.19102219092912,0,-0.833188765214949,-1.53943100550452,-2.54915599627984,-4.22441911499214,0,0,0,0,0
5.10508806208341,5.02951681900081,4.84988274026293,4.42906144450447,3.49143332875115,0,-0.914136170156839,-1.6845120891814,-2.7731994004246,-4.55529311145127,0,0,0,0,0
5.49778714378214,5.41590463760714,5.22267242467204,4.77789573286487,3.82741500555991,0,-0.989981981151381,-1.81970876621697,-2.97912083004829,-4.8495614202424,0,0,0,0,0
5.89048622548086,5.80345380036105,5.59955639658064,5.13870023604418,4.20026712166703,0,-1.05922714720325,-1.94214929314358,-3.16132761471314,-5.08726620688122,0,0,0,0,0
6.28318530717959,6.19229041928317,5.98091087683568,5.5121364445317,4.60685441048702,0,-1.12035832351254,-2.04886504543924,-3.3136941132897,-5.24380764540412,0,0,0,0,0
