x_0,x_1,x_2,x_4,x_10,y_0,y_1,y_2,y_4,y_10,z_0,z_1,z_2,z_4,z_10
0.196349540849362,0.19633924246239,0.196311689816192,0.19622799147028,0.195914120405837,0,-0.00178601454256369,-0.00342781060063581,-0.00616162856321173,-0.0117746937961451,0,0,0,0,0
0.392699081698724,0.392616275347696,0.392394652355047,0.391720752302527,0.389186179145552,0,-0.00701574548310795,-0.0134521565240245,-0.0241152254791452,-0.0456798185598204,0,0,0,0,0
0.589048622548086,0.588780913779425,0.588066383981106,0.585909708422975,0.577971073630184,0,-0.015496041318574,-0.029679716268609,-0.0530387753783284,-0.0994561576198006,0,0,0,0,0
0.785398163397448,0.784788912485269,0.783167182049467,0.77830794375089,0.760798138701348,0,-0.0270334012270202,-0.05171484012856,-0.09209920319696,-0.17081578783666,0,0,0,0,0
0.98174770424681,0.980608389268281,0.977584530370683,0.968594816289282,0.936922641005606,0,-0.0414341434456123,-0.0791608723608465,-0.140461787825953,-0.25753234738426,0,0,0,0,0
1.17809724509617,1.17621268464001,1.17122566010356,1.15651712369542,1.10585646138989,0,-0.0585046931158287,-0.111622121220654,-0.197300419360676,-0.3574858325496,0,0,0,0,0
1.37444678594553,1.37158591829976,1.36403829605871,1.34195775213093,1.26761446052655,0,-0.0780518634700085,-0.148705912409395,-0.261810234494549,-0.46874978731046,0,0,0,0,0
1.5707963267949,1.56671670544744,1.555986729668,1.52485194778564,1.42235906863117,0,-0.0998828734374562,-0.190022604870964,-0.33320587698008,-0.589547358926755,0,0,0,0,0
1.76714586764426,1.76160285342341,1.74706903742362,1.70524152544299,1.57057121365961,0,-0.123805678115772,-0.235187908777927,-0.410734446864007,-0.71831998289116,0,0,0,0,0
1.96349540849362,1.95624594157374,1.93729675208084,1.88320685741241,1.71280252603503,0,-0.149628801623105,-0.283821612724775,-0.493666697726218,-0.853650775685882,0,0,0,0,0
2.15984494934298,2.15065516813762,2.12670869848473,2.05890831316699,1.84979251235432,0,-0.177161664763454,-0.335549804703351,-0.581308407658347,-0.994311568603358,0,0,0,0,0
2.35619449019234,2.34484279207551,2.31535422890628,2.23253323553973,1.98230668781037,0,-0.20621430742326,-0.390002875371411,-0.672988374728172,-1.13918552498762,0,0,0,0,0
2.55254403104171,2.53882714100072,2.50330382381743,2.40432609956143,2.11121372146982,0,-0.236597672408883,-0.446817374635052,-0.768067063660134,-1.28729368538881,0,0,0,0,0
2.74889357189107,2.7326289080686,2.69063578684144,2.57454912437317,2.23738753894129,0,-0.268123280259009,-0.505633749524993,-0.865924171881694,-1.43773113372649,0,0,0,0,0
2.94524311274043,2.92627333072386,2.87744373793312,2.74350228858362,2.36175200102943,0,-0.300603438855174,-0.566097650961307,-0.965963914974643,-1.58967478252346,0,0,0,0,0
3.14159265358979,3.11978733309096,3.06382663292133,2.9114960980091,2.48523022925983,0,-0.333850922227791,-0.627857763564178,-1.06760401751824,-1.74233769793701,0,0,0,0,0
3.33794219443916,3.31320088301041,3.24989324159041,3.07886217022146,2.60875962347058,0,-0.367679085737461,-0.690566448353063,-1.17027733766121,-1.89495902158039,0,0,0,0,0
3.53429173528852,3.50654496986904,3.43575535641402,3.245936848771,2.73327763221249,0,-0.401901589501742,-0.753877930583723,-1.2734234447912,-2.04677688344916,0,0,0,0,0
3.73064127613788,3.69985214425776,3.62152930424563,3.41306261919057,2.85970571673621,0,-0.43633240881044,-0.817448227545163,-1.37648652106759,-2.19700031171432,0,0,0,0,0
3.92699081698724,3.89315532235589,3.80733222995104,3.58058159265817,2.98896598929347,0,-0.4707856322713,-0.880933880543651,-1.47891020331047,-2.34480012891071,0,0,0,0,0
4.1233403578366,4.0864875089666,3.99328064272529,3.74882756258604,3.12192828590493,0,-0.50507536679852,-0.943991176474123,-1.58013190704121,-2.48926225089251,0,0,0,0,0
4.31968989868597,4.2798814219699,4.17948969577293,3.91812879088311,3.25945650953928,0,-0.539015630446262,-1.0062755401202,-1.67958128141322,-2.62939646643394,0,0,0,0,0
