time,tip_velocity_B_1,tip_velocity_B_2,tip_velocity_B_3,tip_position_I_1,tip_position_I_2,tip_position_I_3
0,-0,0,0,1,0,0
0.000805363715071347,-0.000323891192475721,-0.000323418806255555,5.22716813638626e-11,0.999999999999954,6.08100437773966e-08,6.08231718819603e-08
0.00161072743014269,-0.00240130347001636,-0.00238325040603864,7.69419122570152e-09,0.999999999990688,9.45425072256169e-07,9.45504731958435e-07
0.00241609114521404,-0.00765148318365416,-0.00752112602474146,1.24221898513288e-07,0.999999999807091,4.61097616155336e-06,4.61132654706066e-06
0.00322145486028539,-0.0172057079785496,-0.0166986525762954,8.48336508267435e-07,0.999999998412429,1.39948936170335e-05,1.39966529923144e-05
0.00402681857535673,-0.0320410434267074,-0.0305768037558315,3.56413105746171e-06,0.999999992070217,3.27824770623978e-05,3.27902453306988e-05
0.00483218229042808,-0.0529655684826043,-0.049568997607939,1.13408362199029e-05,0.999999971014419,6.52457175273714e-05,6.52729108446436e-05
0.00563754600549943,-0.080679177046956,-0.0738100390366147,2.95128514018204e-05,0.999999914504673,0.000116069692984922,0.000116147887686514
0.00644290972057078,-0.115873465701579,-0.103302687536001,6.61913059522309e-05,0.999999784183047,0.000190254782919449,0.000190448087317918
0.00724827343564212,-0.159140998821465,-0.137995759408317,0.000133361322607101,0.999999515735846,0.000293070871948793,0.000293496148776773
0.00805363715071347,-0.211008961105062,-0.177435183368702,0.000248590686404729,0.999999009230028,0.00042995494656496,0.000430808016282947
0.00885900086578482,-0.271587534335978,-0.221085858327087,0.00043387656858576,0.999998119211944,0.000606301245370583,0.000607888270866597
0.00966436458085616,-0.341024142041829,-0.268325071096794,0.000713384483340417,0.999996644566962,0.00082735087229261,0.000830124527435266
0.0104697282959275,-0.419667829153172,-0.318491690033444,0.00111351058047614,0.999994317191255,0.00109824186987684,0.00110284257138552
0.0112750920109989,-0.507532833464463,-0.371355238989497,0.00166708974280029,0.999990789725015,0.00142407766906379,0.00143137956553527
0.0120804557260702,-0.604789955094788,-0.426068570922829,0.00241546661203676,0.999985625303883,0.00180985672756895,0.00182101630377935
0.0128858194411416,-0.711074890735767,-0.482059616593927,0.00340999461634486,0.999978290913514,0.00226033617187698,0.00227683945497787
0.0136911831562129,-0.825572293822308,-0.538766211526479,0.00471202532276763,0.999968155434927,0.00277986096837564,0.00280356577676757
0.0144965468712842,-0.947473726114822,-0.594843261412091,0.00638761895224466,0.999954494727151,0.00337213854325128,0.00340530764505899
0.0153019105863556,-1.07499011114456,-0.650047476256994,0.00849169006689327,0.999936503874521,0.00404003320751901,0.00408535449461705
0.0161072743014269,-1.20703435129012,-0.703567831325433,0.0110568932096871,0.999913308136661,0.00478557775324005,0.00484617141659128
0.0169126380164983,-1.34266591753644,-0.755102106328937,0.0140956696955645,0.999883965508251,0.00561018112479536,0.00568959721707034
0.0177180017315696,-1.48058602830884,-0.805472620676845,0.0176053063077154,0.999847464963234,0.00651481079548442,0.00661702037652735
0.018523365446641,-1.62040388510765,-0.853980162652125,0.0215648305992059,0.999802727460167,0.00750005024246692,0.00762942911158513
0.0193287291617123,-1.76090720823138,-0.901741599322817,0.0259362010124971,0.999748608394994,0.00856613950017862,0.00872744035522503
0.0201340928767837,-1.90132093165976,-0.949265488240873,0.0306770921257239,0.999683900715849,0.00971304054446104,0.00991135350512964
0.020939456591855,-2.04123323522969,-0.99630727067395,0.0357486885137107,0.999607345909141,0.0109404495418427,0.0111811482081579
0.0217448203069264,-2.1791580472891,-1.04478239056019,0.0411199331485174,0.9995176532762,0.0122477835088996,0.0125364537594515
0.0225501840219977,-2.31491116452729,-1.09415258946591,0.0467829826345123,0.999413521746768,0.0136342106832325,0.0139765612841886
0.0233555477370691,-2.44737377231151,-1.1453130485866,0.0527784012834937,0.999293670368206,0.0150986444406928,0.0155004024018581
0.0241609114521404,-2.574781035778,-1.1992980618541,0.059188919529559,0.999156898623893,0.0166395356112622,0.0171063253164226
0.0249662751672118,-2.69599950767667,-1.2545122847876,0.0661130873037926,0.999002173591199,0.0182545685033206,0.0187917686439821
0.0257716388822831,-2.80829534568687,-1.31244904000784,0.0736449338184123,0.99882871913379,0.0199404815015573,0.0205530578126658
0.0265770025973544,-2.91020536432154,-1.37199827953246,0.0818775636714865,0.998636086289645,0.0216930815652561,0.0223854082844763
0.0273823663124258,-3.00033026082709,-1.43228938335767,0.0908923020168576,0.998424209350602,0.0235073208218082,0.0242830037500454
0.0281877300274971,-3.07655300845239,-1.49452772035964,0.100758089016947,0.998193441661576,0.0253774285283549,0.0262391429485193
0.0289930937425685,-3.13889977574289,-1.55615837041225,0.11154359360665,0.997944571823838,0.0272970843070381,0.0282464399482907
0.0297984574576398,-3.18588349361119,-1.61782669894008,0.123333824055845,0.997678833761038,0.0292595335363293,0.0302969812601639
0.0306038211727112,-3.21657142721828,-1.67861733634279,0.136196205034481,0.997397935370919,0.031257523753335,0.0323823056639078
0.0314091848877825,-3.23095598048723,-1.73585274145011,0.150151135204704,0.997104079882232,0.0332832333835369,0.0344933685326732
0.0322145486028539,-3.22747707827736,-1.79044662507946,0.165164479238514,0.996799950210904,0.0353283363554468,0.0366206410590313
0.0330199123179252,-3.20700763279513,-1.83935287459934,0.181165046455949,0.996488652748413,0.0373841586683184,0.0387543112956336
0.0338252760329966,-3.16944688144054,-1.8816399607399,0.198027469733603,0.996173657682683,0.0394417433445833,0.0408843952258782
0.0346306397480679,-3.11448572333407,-1.91697154710668,0.215566886894186,0.995858732885162,0.0414918840444125,0.0430008070516783
0.0354360034631393,-3.04397054921657,-1.94198254733696,0.233540781291851,0.995547864861643,0.0435251928021465,0.0450934536170513
0.0362413671782106,-2.95758303198168,-1.95734047249543,0.251657581789365,0.995245161259273,0.0455322055495171,0.0471523608381475
0.037046730893282,-2.85706872529041,-1.96112495884489,0.269558555007111,0.99495474316973,0.0475034891807234,0.0491677873447863
0.0378520946083533,-2.74461125973217,-1.95221534015438,0.286840239375768,0.994680589723407,0.0494299082655862,0.0511304823411819
0.0386574583234246,-2.62150899150562,-1.93226429836452,0.303101889777973,0.994426337309836,0.0513030444142878,0.0530320976478002
0.039462822038496,-2.49178709076557,-1.90006551327202,0.317989665391802,0.994195083018874,0.0531155783583765,0.0548655706239167
0.0402681857535673,-2.35729290553324,-1.85760822537979,0.331189796399083,0.993989259830935,0.0548614299799128,0.0566252596877243
0.0410735494686387,-2.2204330975844,-1.80606339415819,0.342423083160289,0.993810569290319,0.0565357688683358,0.0583069274730716
0.04187891318371,-2.0843286315364,-1.7456473050809,0.351442087810381,0.993659948533236,0.0581349951681665,0.0599076801553936
0.0426842768987814,-1.94974296654048,-1.67918585553715,0.358029340810351,0.993537564579137,0.0596566988699161,0.0614258778017134
0.0434896406138527,-1.81928893014309,-1.60699281781805,0.361985554406846,0.993442842044372,0.061099577205423,0.0628609942772083
0.0442950043289241,-1.6943487660819,-1.53090471086078,0.363144543160395,0.993374491702903,0.0624634380667803,0.0642135568572729
0.0451003680439954,-1.57585000809098,-1.45319421971355,0.361393844786891,0.993330544933289,0.0637492606860029,0.0654851570205227
0.0459057317590668,-1.46592468645325,-1.37441419251262,0.35667921293548,0.993308428199843,0.0649591679622623,0.0666783875411578
0.0467110954741381,-1.36453399056451,-1.29691458121617,0.348986086240929,0.993305084278012,0.0660962690002143,0.0677966517970378
