time;position24;slider_velocity;slider_velocity_kinks;slider_velocity_GGL_h=0.01;total_energy_system;total_energy_increment_system;time_ref1[Rosenbrock];pos_ref1[Rosenbrock];angle_ref1[LieGroupGenAlpha];time_ref2[LieGroupGenAlpha];pos_ref2[LieGroupGenAlpha]
0.37;0.240465188;-0.600761223;-0.595242714;-0.595443504;0.76643568;-6.70E-16;0.618729097;0.204442092;6.388961098;0.30760297;0.289268
0.38;0.234576407;-0.588878099;-0.582513483;-0.58222912;0.76643568;1.67E-16;0.635451505;0.208646194;6.481737672;0.31586331;0.28787715
0.39;0.228831285;-0.574512198;-0.566510913;-0.566770616;0.76643568;-9.02E-17;0.652173913;0.21299976;6.572797723;0.32343452;0.2861426
0.4;0.223250751;-0.55805339;-0.549595867;-0.549233898;0.76643568;5.83E-16;0.668896321;0.217530597;6.663875711;0.33274012;0.28354529
0.41;0.217856125;-0.539462597;-0.529329326;-0.529626653;0.76643568;3.85E-16;0.685618729;0.222267764;6.756443942;0.34274012;0.28034167
0.42;0.212668185;-0.518793983;-0.508258639;-0.507790752;0.76643568;-2.48E-15;0.702341137;0.22724076;6.851873331;0.35274012;0.27685675
0.43;0.20771166;-0.495652498;-0.483046357;-0.483354848;0.76643568;-1.39E-15;0.719063545;0.232479152;6.951556553;0.36274012;0.27320047
0.44;0.203015024;-0.46966356;-0.456280764;-0.455623475;0.76643568;-4.16E-17;0.735785953;0.23801226;7.057029028;0.37274012;0.26944651
0.45;0.198618044;-0.439698062;-0.423115361;-0.423341663;0.76643568;-8.67E-17;0.752508361;0.243868505;7.170120556;0.38274012;0.26563953
0.46;0.194575826;-0.404221764;-0.385328167;-0.384188424;0.76643568;4.86E-16;0.769230769;0.250074261;7.293166895;0.39274012;0.261802
0.47;0.190979262;-0.359656448;-0.333984728;-0.333665855;0.76643568;-4.02E-16;0.785953177;0.256650545;7.429373643;0.40274012;0.25794037
0.48;0.187980916;-0.29983455;-0.265684371;-0.262912716;0.76643568;-2.29E-16;0.802675585;0.263604096;7.583455855;0.41274012;0.25405035
0.49;0.185855204;-0.212571216;-0.159458061;-0.15775264;0.76643568;-1.69E-15;0.819397993;0.270897167;7.762800212;0.42274012;0.25012135
0.5;0.184964975;-0.089022922;-0.018587783;-0.018789011;0.76643568;1.66E-15;0.836120401;0.278321759;7.978634881;0.43274012;0.24614037
0.51;0.185410866;0.044589164;0.107766112;0.101741905;0.76643568;-6.21E-16;0.852842809;0.284979715;8.236773874;0.44274012;0.24209526
0.52;0.186796813;0.13859462;0.169423128;0.16897172;0.76643568;-3.19E-16;0.869565217;0.289015931;8.499261674;0.45274012;0.23797756
0.53;0.18866107;0.18642573;0.203428333;0.200942635;0.76643568;1.8E-16;0.886287625;0.290158802;8.737346746;0.46274012;0.23378478
0.54;0.190757806;0.209673567;0.2159188;0.216766169;0.76643568;-2.40E-16;0.903010033;0.288750141;8.986300483;0.47274012;0.22952204
0.55;0.192972125;0.22143199;0.226945179;0.225571313;0.76643568;-1.60E-17;0.919732441;0.283600064;9.285980283;0.48274012;0.22520276
0.56;0.195258856;0.22867301;0.23040084;0.231326563;0.76643568;-3.21E-17;0.936454849;0.274787651;9.58993332;0.49274012;0.22084851
0.57;0.197594855;0.233599915;0.23679899;0.235836426;0.76643568;3.49E-17;0.953177258;0.264719521;9.85059523;0.50274012;0.2164882
0.58;0.199974592;0.237973721;0.239148451;0.239976359;0.76643568;7.59E-17;0.969899666;0.254443115;10.0772623;0.51274012;0.21215689
0.59;0.202394962;0.242037036;0.24492562;0.24419629;0.76643568;-1.69E-17;0.986622074;0.244287966;10.28176493;0.52274012;0.20789496
