time, x, y, z
0.000000000000000000e+00, 6.283185307179586232e+00, -0.000000000000000000e+00, 0.000000000000000000e+00
2.500000000000000139e-02, 6.279211084118648145e+00, -2.106580449111622177e-01, 0.000000000000000000e+00
5.000000000000000278e-02, 6.267468132634235189e+00, -4.187155332383409312e-01, 0.000000000000000000e+00
7.500000000000001110e-02, 6.248469444573747644e+00, -6.217810982682254739e-01, 0.000000000000000000e+00
1.000000000000000056e-01, 6.222990526970057168e+00, -8.178393320172394620e-01, 0.000000000000000000e+00
1.250000000000000000e-01, 6.191973491931025642e+00, -1.005348273953172278e+00, 0.000000000000000000e+00
1.500000000000000222e-01, 6.156428568813389290e+00, -1.183263172864597701e+00, 0.000000000000000000e+00
1.750000000000000167e-01, 6.117350664758343548e+00, -1.351000616857521042e+00, 0.000000000000000000e+00
2.000000000000000111e-01, 6.075659876146945138e+00, -1.508365869258414760e+00, 0.000000000000000000e+00
2.250000000000000056e-01, 6.032166821428005754e+00, -1.655465671367031044e+00, 0.000000000000000000e+00
2.500000000000000000e-01, 5.987558655284275666e+00, -1.792622919481677179e+00, 0.000000000000000000e+00
2.750000000000000222e-01, 5.942399754238111065e+00, -1.920302608101674746e+00, 0.000000000000000000e+00
3.000000000000000444e-01, 5.897141321189910634e+00, -2.039052697319895469e+00, 0.000000000000000000e+00
3.250000000000000111e-01, 5.852135399755072243e+00, -2.149459866124049157e+00, 0.000000000000000000e+00
3.500000000000000333e-01, 5.807650221826626158e+00, -2.252118221732935410e+00, 0.000000000000000000e+00
3.750000000000000000e-01, 5.763885034823974074e+00, -2.347608379850152360e+00, 0.000000000000000000e+00
4.000000000000000222e-01, 5.720983446875224310e+00, -2.436484374500409444e+00, 0.000000000000000000e+00
4.250000000000000444e-01, 5.679044909900932581e+00, -2.519266216792883650e+00, 0.000000000000000000e+00
4.500000000000000111e-01, 5.638134303848534756e+00, -2.596436373223836469e+00, 0.000000000000000000e+00
4.750000000000000333e-01, 5.598289765713620803e+00, -2.668438861608596113e+00, 0.000000000000000000e+00
5.000000000000000000e-01, 5.559528985206569018e+00, -2.735680021131362771e+00, 0.000000000000000000e+00
5.250000000000000222e-01, 5.521854208076328874e+00, -2.798530293132166502e+00, 0.000000000000000000e+00
5.500000000000000444e-01, 5.485256176157763619e+00, -2.857326558525450810e+00, 0.000000000000000000e+00
5.750000000000000666e-01, 5.449717207157362964e+00, -2.912374729162139797e+00, 0.000000000000000000e+00
6.000000000000000888e-01, 5.415213586701351112e+00, -2.963952397363401214e+00, 0.000000000000000000e+00
6.250000000000000000e-01, 5.381717415325528719e+00, -3.012311421833520964e+00, 0.000000000000000000e+00
6.500000000000000222e-01, 5.349198026255293392e+00, -3.057680378406544719e+00, 0.000000000000000000e+00
6.750000000000000444e-01, 5.317623066847379398e+00, -3.100266837566233225e+00, 0.000000000000000000e+00
7.000000000000000666e-01, 5.286959317480371290e+00, -3.140259452509479132e+00, 0.000000000000000000e+00
7.250000000000000888e-01, 5.257173306146498248e+00, -3.177829855363398792e+00, 0.000000000000000000e+00
7.500000000000000000e-01, 5.228231764525193448e+00, -3.213134367598137420e+00, 0.000000000000000000e+00
7.750000000000000222e-01, 5.200101961401101924e+00, -3.246315535500327254e+00, 0.000000000000000000e+00
8.000000000000000444e-01, 5.172751941454544422e+00, -3.277503504025442549e+00, 0.000000000000000000e+00
8.250000000000000666e-01, 5.146150691291742518e+00, -3.306817243277481833e+00, 0.000000000000000000e+00
8.500000000000000888e-01, 5.120268249752823131e+00, -3.334365641842931716e+00, 0.000000000000000000e+00
8.750000000000000000e-01, 5.095075775757999637e+00, -3.360248480616334632e+00, 0.000000000000000000e+00
9.000000000000000222e-01, 5.070545584000591077e+00, -3.384557299848753420e+00, 0.000000000000000000e+00
9.250000000000000444e-01, 5.046651156495467916e+00, -3.407376171093373873e+00, 0.000000000000000000e+00
9.500000000000000666e-01, 5.023367136178691794e+00, -3.428782384624670332e+00, 0.000000000000000000e+00
9.750000000000000888e-01, 5.000669307401238051e+00, -3.448847061768923528e+00, 0.000000000000000000e+00
1.000000000000000000e+00, 4.978534566947577567e+00, -3.467635700715490099e+00, 0.000000000000000000e+00
