xi, x, y, z
0.000000000000000000e+00, 0.000000000000000000e+00, -0.000000000000000000e+00, 0.000000000000000000e+00
5.000000000000000104e-03, 3.141538016048606163e-02, -1.605241819919943878e-04, 0.000000000000000000e+00
1.000000000000000021e-02, 6.282751415428185215e-02, -6.399859385349409863e-04, 0.000000000000000000e+00
1.499999999999999944e-02, 9.423324376407452019e-02, -1.435195738055529456e-03, 0.000000000000000000e+00
2.000000000000000042e-02, 1.256295061051858897e-01, -2.542934695309369709e-03, 0.000000000000000000e+00
2.500000000000000139e-02, 1.570133329119682841e-01, -3.959956745585673649e-03, 0.000000000000000000e+00
2.999999999999999889e-02, 1.883818497804667369e-01, -5.682990763419254639e-03, 0.000000000000000000e+00
3.500000000000000333e-02, 2.197322753700916564e-01, -7.708742625581728979e-03, 0.000000000000000000e+00
4.000000000000000083e-02, 2.510619205666771991e-01, -1.003389721826962108e-02, 0.000000000000000000e+00
4.499999999999999833e-02, 2.823681876091775345e-01, -1.265512038842517457e-02, 0.000000000000000000e+00
5.000000000000000278e-02, 3.136485691822761823e-01, -1.556906083925964877e-02, 0.000000000000000000e+00
5.500000000000000028e-02, 3.449006474770711650e-01, -1.877235197005582001e-02, 0.000000000000000000e+00
5.999999999999999778e-02, 3.761220932219688784e-01, -2.226161366045615805e-02, 0.000000000000000000e+00
6.500000000000000222e-02, 4.073106646858906110e-01, -2.603345399945577315e-02, 0.000000000000000000e+00
7.000000000000000666e-02, 4.384642066557876139e-01, -3.008447095941602437e-02, 0.000000000000000000e+00
7.499999999999999722e-02, 4.695806493904525758e-01, -3.441125401544074813e-02, 0.000000000000000000e+00
8.000000000000000167e-02, 5.006580075522032436e-01, -3.901038571048674047e-02, 0.000000000000000000e+00
8.500000000000000611e-02, 5.316943791197492608e-01, -4.387844316688255947e-02, 0.000000000000000000e+00
8.999999999999999667e-02, 5.626879442811095755e-01, -4.901199954432097078e-02, 0.000000000000000000e+00
9.500000000000000111e-02, 5.936369643115771977e-01, -5.440762544536536377e-02, 0.000000000000000000e+00
1.000000000000000056e-01, 6.245397804363239658e-01, -6.006189026873991199e-02, 0.000000000000000000e+00
1.049999999999999961e-01, 6.553948126799640228e-01, -6.597136351114092634e-02, 0.000000000000000000e+00
1.100000000000000006e-01, 6.862005587045839627e-01, -7.213261601822157365e-02, 0.000000000000000000e+00
1.150000000000000050e-01, 7.169555926376882660e-01, -7.854222118542453224e-02, 0.000000000000000000e+00
1.199999999999999956e-01, 7.476585638915552723e-01, -8.519675610939858590e-02, 0.000000000000000000e+00
1.250000000000000000e-01, 7.783081959753614942e-01, -9.209280269073838454e-02, 0.000000000000000000e+00
1.300000000000000044e-01, 8.089032853014372915e-01, -9.922694868882131480e-02, 0.000000000000000000e+00
