xi, x, y, z
1.549999999999999989e-01, 9.300033438855914714e-01, -2.537440516585615091e-01, 0.000000000000000000e+00
1.600000000000000033e-01, 9.575682517850143682e-01, -2.688146861812516497e-01, 0.000000000000000000e+00
1.650000000000000078e-01, 9.849487423683055409e-01, -2.842178463470954597e-01, 0.000000000000000000e+00
1.700000000000000122e-01, 1.012144231758107749e+00, -2.999453505700352407e-01, 0.000000000000000000e+00
1.750000000000000167e-01, 1.039154350611785071e+00, -3.159891320987667784e-01, 0.000000000000000000e+00
1.799999999999999933e-01, 1.065978936057754733e+00, -3.323412409986942762e-01, 0.000000000000000000e+00
1.849999999999999978e-01, 1.092618023805401295e+00, -3.489938458140641742e-01, 0.000000000000000000e+00
1.900000000000000022e-01, 1.119071840433986109e+00, -3.659392349270733091e-01, 0.000000000000000000e+00
1.950000000000000067e-01, 1.145340795864919770e+00, -3.831698176301602254e-01, 0.000000000000000000e+00
2.000000000000000111e-01, 1.171425476020967471e+00, -4.006781249272865497e-01, 0.000000000000000000e+00
2.050000000000000155e-01, 1.197326635675132200e+00, -4.184568100794644474e-01, 0.000000000000000000e+00
2.099999999999999922e-01, 1.223045191491283656e+00, -4.364986489093326538e-01, 0.000000000000000000e+00
2.149999999999999967e-01, 1.248582215257901362e+00, -4.547965398790493885e-01, 0.000000000000000000e+00
2.200000000000000011e-01, 1.273938927315700465e+00, -4.733435039552484347e-01, 0.000000000000000000e+00
2.250000000000000056e-01, 1.299116690179332956e+00, -4.921326842743266039e-01, 0.000000000000000000e+00
2.300000000000000100e-01, 1.324117002352833916e+00, -5.111573456207363364e-01, 0.000000000000000000e+00
2.350000000000000144e-01, 1.348941492338003645e+00, -5.304108737305218702e-01, 0.000000000000000000e+00
2.399999999999999911e-01, 1.373591912834486006e+00, -5.498867744317514905e-01, 0.000000000000000000e+00
2.449999999999999956e-01, 1.398070135129888980e+00, -5.695786726330130945e-01, 0.000000000000000000e+00
2.500000000000000000e-01, 1.422378143677960782e+00, -5.894803111706539145e-01, 0.000000000000000000e+00
2.550000000000000044e-01, 1.446518030862480542e+00, -6.095855495248994060e-01, 0.000000000000000000e+00
2.600000000000000089e-01, 1.470491991944249177e+00, -6.298883624145331650e-01, 0.000000000000000000e+00
2.650000000000000133e-01, 1.494302320188304334e+00, -6.503828382793396257e-01, 0.000000000000000000e+00
2.700000000000000178e-01, 1.517951402168251196e+00, -6.710631776590096909e-01, 0.000000000000000000e+00
2.750000000000000222e-01, 1.541441713244381395e+00, -6.919236914767953328e-01, 0.000000000000000000e+00
2.800000000000000266e-01, 1.564775813212111233e+00, -7.129587992357153681e-01, 0.000000000000000000e+00
2.850000000000000311e-01, 1.587956342117070596e+00, -7.341630271347088232e-01, 0.000000000000000000e+00
2.899999999999999800e-01, 1.610986016233077356e+00, -7.555310061117030962e-01, 0.000000000000000000e+00
2.949999999999999845e-01, 1.633867624199100588e+00, -7.770574698201514474e-01, 0.000000000000000000e+00
2.999999999999999889e-01, 1.656604023311218477e+00, -7.987372525452010041e-01, 0.000000000000000000e+00
3.049999999999999933e-01, 1.679198135965533023e+00, -8.205652870653127318e-01, 0.000000000000000000e+00
3.099999999999999978e-01, 1.701652946248287890e+00, -8.425366024650982055e-01, 0.000000000000000000e+00
3.150000000000000022e-01, 1.723971496666753644e+00, -8.646463219022501034e-01, 0.000000000000000000e+00
3.200000000000000067e-01, 1.746156885022143612e+00, -8.868896603386268174e-01, 0.000000000000000000e+00
3.250000000000000111e-01, 1.768212261413344422e+00, -9.092619222330832196e-01, 0.000000000000000000e+00
3.300000000000000155e-01, 1.790140825372266153e+00, -9.317584992050607084e-01, 0.000000000000000000e+00
3.350000000000000200e-01, 1.811945823124633481e+00, -9.543748676708339040e-01, 0.000000000000000000e+00
3.400000000000000244e-01, 1.833630544972306264e+00, -9.771065864562575864e-01, 0.000000000000000000e+00
3.450000000000000289e-01, 1.855198322792930288e+00, -9.999492943892583918e-01, 0.000000000000000000e+00
3.500000000000000333e-01, 1.876652527652711511e+00, -1.022898707875037783e+00, 0.000000000000000000e+00
