time,kinetic_energy,potential_energy,total_energy,L_1,L_2,L_3,P_1,P_2,P_3,energy_increment,external_power,external_work,power_balance,angmom_increment_1,angmom_increment_2,angmom_increment_3,linmom_increment_1,linmom_increment_2,linmom_increment_3,center_of_mass_1,center_of_mass_2,center_of_mass_3,center_of_mass_difference_1,center_of_mass_difference_2,center_of_mass_difference_3
2.3,83.743766927706,56.4138229708096,140.157589898516,-0.00408257691268676,199.77463681834,97.6478950472817,21.1600000000001,4.39405456464925e-15,2.77278200400133e-14,16.9752726977074,169.752726977074,16.9752726977074,6.75015598972095e-14,0.00233611273822143,17.2089634049672,8.29891673609335,1.88000000000001,5.74193470548323e-16,3.67206265394771e-14,4.6238,1.55431223447522e-16,4,0.0015333333333345,1.55431223447522e-16,0
2.4,98.7289851481142,58.4038774481088,157.132862596223,-0.00641868965090819,216.983600223308,105.946811783375,23.0400000000001,4.96824803519758e-15,6.44484465794903e-14,20.4280100349205,204.280100349204,20.4280100349204,1.17239551400417e-13,0.00299352289120725,18.0048996261241,8.69262968880976,1.96000000000003,1.02695629777827e-15,1.64035451888367e-14,4.8448,1.99840144432528e-16,4,0.00160000000000249,1.99840144432528e-16,0
2.5,115.888118436987,61.6727541941564,177.560872631144,-0.00941221254211544,234.988499849432,114.639441472185,25.0000000000001,3.94129173741931e-15,4.80449013906536e-14,21.8839791825449,218.839791825448,21.8839791825448,6.03961325396085e-14,0.00323204952953637,18.1451880664668,8.78453303623604,1.95999999999999,1.99840144432528e-15,3.02535774210355e-15,5.085,2.22044604925031e-16,4,0.00166666666666959,2.22044604925031e-16,0
2.6,134.586893491789,64.8579583218996,199.444851813688,-0.0126442620716518,253.133687915898,123.423974508421,26.9600000000001,1.94289029309402e-15,5.10702591327572e-14,20.7761851613222,207.761851613221,20.7761851613221,5.6843418860808e-14,0.00318040594269542,17.6263135930412,8.57554381364217,1.88,1.49880108324396e-15,6.27276008913213e-15,5.3448,2.88657986402541e-16,4,0.00160000000000338,2.88657986402541e-16,8.88178419700125e-16
2.7,154.034191326291,66.1868456487197,220.221036975011,-0.0158246680143472,270.76000150894,131.999518322063,28.8400000000001,4.44089209850063e-16,4.47974990436251e-14,19.6554288899787,196.554288899786,19.6554288899786,9.9475983006414e-14,0.00312134506478079,17.1687388507534,8.41587999928942,1.80000000000001,9.43689570931383e-16,7.99360577730113e-15,5.6238,2.77555756156289e-16,4,0.00153333333333538,2.77555756156289e-16,1.77635683940025e-15
2.8,174.351979786617,65.5244860783722,239.876465864989,-0.018946013079128,287.928740359693,140.415398321352,30.6400000000001,-4.9960036108132e-16,3.68038932663239e-14,18.7811314976341,187.811314976341,18.7811314976341,-3.90798504668055e-14,0.00295340756489681,16.7625106692806,8.30212861816364,1.71999999999999,1.16573417585641e-15,8.82627304576999e-15,5.92120000000001,2.88657986402541e-16,4,0.0014666666666745,2.88657986402541e-16,1.77635683940025e-15
2.9,195.460572453542,63.1970249090812,258.657597362623,-0.0218994206440248,304.691251028974,148.717526939516,32.3600000000001,-1.66533453693773e-15,4.56301663120939e-14,18.592128131153,185.921281311527,18.5921281311527,2.41584530158434e-13,0.00256835182720261,16.3965120330683,8.2291293697416,1.64000000000004,1.33226762955019e-15,1.49324996812084e-14,6.23620000000001,2.85882428840978e-16,4,0.00140000000000473,2.85882428840978e-16,3.5527136788005e-15
3,217.313094970244,59.9366305235319,277.249725493776,-0.0244677724712274,321.087763062042,156.946656309258,34.0000000000001,-3.33066907387547e-16,3.06976666308856e-14,19.0034973826539,190.034973826538,19.0034973826538,1.77635683940025e-14,0.00208379372542111,16.0608207719332,8.19086364662013,1.55999999999997,4.9960036108132e-16,1.29340982368831e-14,6.56800000000001,2.71310751642773e-16,4,0.0013333333333394,2.71310751642773e-16,3.5527136788005e-15
3.1,239.899800087745,56.3534227886851,296.25322287643,-0.0265515661966486,337.148583833975,165.137519955878,35.5600000000001,1.66533453693773e-16,4.36317648677687e-14,19.4802204776853,194.802204776851,19.4802204776851,2.02504679691629e-13,0.00183592438727587,15.745396559386,8.17975000561262,1.48,4.9960036108132e-16,3.5527136788005e-15,6.91580000000001,2.77555756156289e-16,4,0.00126666666667319,2.77555756156289e-16,3.5527136788005e-15
3.2,263.218833721945,52.5146096321708,315.733443354115,-0.0283874905839244,352.893980393361,173.31726996149,37.0400000000001,6.66133814775094e-16,4.00790511889682e-14,19.7787215224701,197.7872152247,19.77872152247,8.17124146124115e-14,0.00202605570287118,15.4365077813661,8.18474645617727,1.40000000000002,9.99200722162641e-16,3.88578058618805e-15,7.27880000000001,2.55351295663786e-16,4,0.0012000000000052,2.55351295663786e-16,4.44089209850063e-15
