timestepsize,position_error,velocity_error
1,0.459582066467248,1.25274853167962
0.5,0.182657721734041,0.526719594227451
0.1,0.00911867789344802,0.0278625469239215
0.05,0.00230121175116172,0.0071219700180395
0.01,8.9958710916992e-05,0.000388500785347038
