time,total_energy,energy_increment,external_power,dissipated_energy,power_balance
0,0,1.60224807090387e-07,0.00016071812384402,0,1.47114071942556e-21
0.001,1.60224807090387e-07,1.07321119897322e-05,0.0107760574015127,4.9331675363478e-10,7.01449159444967e-22
0.002,1.08923367968226e-05,4.60633570064451e-05,0.0464593004400069,4.39454117804935e-08,-3.4410713482206e-21
0.003,5.69556938032676e-05,0.000114895896854403,0.116352594720215,3.95943433561839e-07,2.11758236813575e-22
0.004,0.00017185159065767,0.000265127995928168,0.269057886806058,1.45669786581218e-06,1.03338019565025e-19
0.005,0.000436979586585838,0.000444383483581934,0.453039006052023,3.92989087789018e-06,-2.03287907341032e-20
0.006,0.000881363070167772,0.000704783740426292,0.720998287567551,8.65552247008897e-06,3.08319992800565e-19
0.007,0.00158614681059406,0.00109471998286662,1.12262805193882,1.6214547141259e-05,2.2056737946502e-18
0.008,0.00268086679346068,0.00142392282282318,1.46813183301028,2.79080690722105e-05,2.43267862451435e-18
0.009,0.00410478961628386,0.00195522998734441,2.0208370778595,4.42090101871024e-05,1.08691267791672e-17
0.01,0.00606001960362827,0.00248518210712028,2.5785659421918,6.56070905151064e-05,2.24294324432939e-17
0.011,0.00854520171074855,0.00291968866534505,3.04624585540904,9.33838350715429e-05,3.14147579477675e-17
0.012,0.0114648903760936,0.00364522868566021,3.81111932898952,0.000126557190064016,7.21536545789103e-17
0.013,0.0151101190617538,0.00406020383799277,4.27137602345445,0.000165890643329385,6.31818816015928e-17
0.014,0.0191703228997466,0.00456802657200124,4.82829406968055,0.000211172185461747,7.51894206618697e-17
0.015,0.0237383494717478,0.00517576114175263,5.48988758325289,0.000260267497679392,9.89876583479266e-17
0.016,0.0289141106135005,0.00532199875683025,5.69206248267174,0.000314126441500353,5.62158826433734e-17
0.017,0.0342361093703307,0.00576308029236982,6.18944474413909,0.000370063725841539,3.11708124589583e-17
0.018,0.0399991896627005,0.00594497665805126,6.42819753235885,0.000426364451769305,2.97071395261028e-17
0.019,0.0459441663207518,0.00577988596539837,6.31622627820277,0.000483220874307619,6.07153216591882e-18
