time,total_energy,energy_increment,external_power,tip_velocity_B_1,tip_velocity_B_2,tip_velocity_B_3,tip_position_I_1,tip_position_I_2,tip_position_I_3,mid_constraint_1,mid_constraint_2,mid_constraint_3,mid_constraint_4,mid_constraint_5,mid_constraint_6,mid_constraint_norm,drift_K_1,drift_K_2,drift_K_3,Gamma_1,Gamma_2,Gamma_3
0.01,0.00605968882157627,0.00248525828572192,2.48525828572191,-0.421085514628778,-0.328248504201012,0.00139145391153571,0.999993966509179,0.00111783878066507,0.00112549557658866,1.11022302462516e-15,9.99200722162641e-16,1.11022302462516e-16,-4.80119450327419e-18,-1.62630325872826e-19,5.42101086242752e-20,1.49778045122717e-15,2.79513201922572e-16,2.70973150191651e-16,3.05784072181663e-16,2.56611053813722e-17,3.62175306386292e-17,1.64438609879787e-15
0.011,0.00854494710729819,0.00291910221559936,2.91910221559935,-0.532063157793679,-0.396341989813504,0.0022432185701671,0.999989098260913,0.00153858110732982,0.00155138100843972,1.22124532708767e-15,8.88178419700125e-16,1.11022302462516e-16,-2.52018771587756e-18,-2.16840434497101e-19,0,1.51414444626808e-15,3.01553606264382e-16,2.8273553306174e-16,5.93589827511932e-16,2.41354079289554e-17,3.74927347118031e-17,1.72910775999263e-15
0.012,0.0114640493228976,0.00364581156502391,3.64581156502386,-0.656461565264637,-0.467644663238433,0.00345453489163011,0.999981391167291,0.0020542761427843,0.00207467134677934,1.22124532708767e-15,8.88178419700125e-16,1.11022302462516e-16,-1.41856842841414e-18,-2.16840434497101e-19,0,1.51414301344184e-15,3.26784992857732e-16,2.89031310368914e-16,7.62836635654452e-16,1.54248641534102e-17,4.85767234542e-17,2.53367513518042e-15
0.013,0.0151098608879215,0.00406016743084025,4.0601674308402,-0.794146602953636,-0.538905709223217,0.00510634730219376,0.999969734152199,0.00267307916754933,0.00270428677958539,1.22124532708767e-15,8.88178419700125e-16,1.11022302462516e-16,-8.8961752867751e-18,-2.16840434497101e-19,0,1.51416848294801e-15,3.70388667451937e-16,2.94522974818284e-16,1.36613411223366e-15,2.47401949314022e-17,4.26337703797831e-17,1.9468513375587e-15
0.014,0.0191700283187617,0.004568201228267,4.56820122826695,-0.94327026702669,-0.610822892090079,0.00730341068799115,0.999952786439384,0.00340216912002476,0.00344821201788505,1.33226762955019e-15,9.99200722162641e-16,2.22044604925031e-16,-5.6500273955414e-18,-3.25260651745651e-19,0,1.68008182988151e-15,4.02994013359464e-16,3.21228375173384e-16,1.79706635353209e-15,2.8324490764423e-17,4.45929611232224e-17,1.95415810356558e-15
0.015,0.0237382295470287,0.00517802713712787,5.17802713712781,-1.10285286247798,-0.681852156296569,0.0101319181996264,0.999928973559364,0.0042478340292089,0.00431361451028529,1.33226762955019e-15,9.99200722162641e-16,1.11022302462516e-16,-7.57162751550619e-18,-3.25260651745651e-19,0,1.66904838363045e-15,4.40416471445934e-16,3.28514640349604e-16,2.26299448046673e-15,1.38119741090687e-17,6.55082001451211e-17,2.67909606336584e-15
0.016,0.0289162566841566,0.00532293777854175,5.32293777854171,-1.27272921994573,-0.750585516381855,0.0137089438650797,0.999896483418565,0.00521552975874135,0.00530692719151447,1.33226762955019e-15,1.11022302462516e-15,2.22044604925031e-16,5.87269118155088e-18,-3.79470760369927e-19,0,1.74839087169637e-15,4.70607767167723e-16,3.47194568872271e-16,2.61481240160152e-15,3.45545827495858e-17,4.74968195899913e-17,1.66602828182804e-15
0.017,0.0342391944626983,0.00576672362793598,5.76672362793595,-1.44771099226527,-0.818470494982497,0.0181129642381066,0.999853306007737,0.00630919417127162,0.00643305527495876,1.33226762955019e-15,9.99200722162641e-16,2.22044604925031e-16,-8.27455898260885e-18,-4.33680868994202e-19,0,1.68009273044656e-15,5.08018695086406e-16,3.54805828735934e-16,2.9320583360083e-15,1.61300288711447e-17,6.10303881262201e-17,2.18811833357949e-15
0.018,0.0400059180906343,0.00595023040643156,5.95023040643153,-1.62460534440511,-0.881024259928512,0.0233942294438705,0.999797362550507,0.00752982712120165,0.00769378242157894,1.4432899320127e-15,1.11022302462516e-15,1.11022302462516e-16,-2.51771411497378e-17,-4.06575814682064e-19,8.13151629364128e-20,1.82445635855004e-15,5.15703142473199e-16,3.6619416805118e-16,3.17088471371446e-15,2.45524333536396e-17,6.24046389302491e-17,1.79919511185587e-15
0.019,0.0459561484970659,0.00578383773168745,5.78383773168741,-1.79880999252743,-0.938656251773723,0.0294572946152382,0.999726616449169,0.0088755148929376,0.00908762217902954,1.4432899320127e-15,1.11022302462516e-15,1.11022302462516e-16,-2.12813586926295e-17,-3.52365706057789e-19,0,1.82440674310597e-15,5.35442790076788e-16,3.60475488741468e-16,3.26552928467618e-15,5.26769039975159e-17,8.09464144036677e-17,2.12561324081604e-15
