xi, x, y, z
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
5.000000000000000104e-03, 3.158006485543594921e-02, -7.226317402020565606e-03, 0.000000000000000000e+00
1.000000000000000021e-02, 6.308199005724965391e-02, -1.465953155226127833e-02, 0.000000000000000000e+00
1.499999999999999944e-02, 9.450577560544111411e-02, -2.229964245072214857e-02, 0.000000000000000000e+00
2.000000000000000042e-02, 1.258514215000103298e-01, -3.014665009740317286e-02, 0.000000000000000000e+00
2.500000000000000139e-02, 1.571189277409573148e-01, -3.820055449230434774e-02, 0.000000000000000000e+00
2.999999999999999889e-02, 1.883082943282820554e-01, -4.646135563542566627e-02, 0.000000000000000000e+00
3.500000000000000333e-02, 2.194195212619845514e-01, -5.492905352676714925e-02, 0.000000000000000000e+00
4.000000000000000083e-02, 2.504526085420647474e-01, -6.360364816632875506e-02, 0.000000000000000000e+00
4.499999999999999833e-02, 2.814075561685227544e-01, -7.248513955411055310e-02, 0.000000000000000000e+00
5.000000000000000278e-02, 3.122843641413585725e-01, -8.157352769011248783e-02, 0.000000000000000000e+00
5.500000000000000028e-02, 3.430830324605719239e-01, -9.086881257433454540e-02, 0.000000000000000000e+00
5.999999999999999778e-02, 3.738035611261631974e-01, -1.003709942067768091e-01, 0.000000000000000000e+00
6.500000000000000222e-02, 4.044459501381322264e-01, -1.100800725874391817e-01, 0.000000000000000000e+00
7.000000000000000666e-02, 4.350101994964790664e-01, -1.199960477163217049e-01, 0.000000000000000000e+00
7.499999999999999722e-02, 4.654963092012035508e-01, -1.301189195934243648e-01, 0.000000000000000000e+00
8.000000000000000167e-02, 4.959042792523057352e-01, -1.404486882187472307e-01, 0.000000000000000000e+00
8.500000000000000611e-02, 5.262341096497857862e-01, -1.509853535922902057e-01, 0.000000000000000000e+00
8.999999999999999667e-02, 5.564858003936435926e-01, -1.617289157140533451e-01, 0.000000000000000000e+00
9.500000000000000111e-02, 5.866593514838791545e-01, -1.726793745840366490e-01, 0.000000000000000000e+00
1.000000000000000056e-01, 6.167547629204923609e-01, -1.838367302022400895e-01, 0.000000000000000000e+00
1.049999999999999961e-01, 6.467720347034834338e-01, -1.952009825686636946e-01, 0.000000000000000000e+00
1.100000000000000006e-01, 6.767111668328523733e-01, -2.067721316833074918e-01, 0.000000000000000000e+00
1.150000000000000050e-01, 7.065721593085989571e-01, -2.185501775461713980e-01, 0.000000000000000000e+00
1.199999999999999956e-01, 7.363550121307230745e-01, -2.305351201572553854e-01, 0.000000000000000000e+00
1.250000000000000000e-01, 7.660597252992251693e-01, -2.427269595165595928e-01, 0.000000000000000000e+00
1.300000000000000044e-01, 7.956862988141050197e-01, -2.551256956240839369e-01, 0.000000000000000000e+00
1.350000000000000089e-01, 8.252347326753626255e-01, -2.677313284798285009e-01, 0.000000000000000000e+00
1.400000000000000133e-01, 8.547050268829978759e-01, -2.805438580837931184e-01, 0.000000000000000000e+00
1.449999999999999900e-01, 8.840971814370108817e-01, -2.935632844359779003e-01, 0.000000000000000000e+00
1.499999999999999944e-01, 9.134111963374017540e-01, -3.067896075363828468e-01, 0.000000000000000000e+00
1.549999999999999989e-01, 9.426470715841703818e-01, -3.202228273850079576e-01, 0.000000000000000000e+00
1.600000000000000033e-01, 9.718048071773167651e-01, -3.338629439818532330e-01, 0.000000000000000000e+00
