xi, x, y, z
0.000000000000000000e+00, 0.000000000000000000e+00, -0.000000000000000000e+00, 0.000000000000000000e+00
5.000000000000000104e-03, 3.141588086811203384e-02, -4.640644825619142500e-05, 0.000000000000000000e+00
1.000000000000000021e-02, 6.283149004505871049e-02, -1.851017969390178583e-04, 0.000000000000000000e+00
1.499999999999999944e-02, 9.424656218188202927e-02, -4.152994820084231881e-04, 0.000000000000000000e+00
2.000000000000000042e-02, 1.256608387966223483e-01, -7.362122167324177974e-04, 0.000000000000000000e+00
2.500000000000000139e-02, 1.570740682171049285e-01, -1.147052037383736699e-03, 0.000000000000000000e+00
2.999999999999999889e-02, 1.884860055234729992e-01, -1.647030347892927205e-03, 0.000000000000000000e+00
3.500000000000000333e-02, 2.198964124904632389e-01, -2.235357963508091336e-03, 0.000000000000000000e+00
4.000000000000000083e-02, 2.513050575294178413e-01, -2.911245153431985672e-03, 0.000000000000000000e+00
4.499999999999999833e-02, 2.827117156301047762e-01, -3.673901682481123081e-03, 0.000000000000000000e+00
5.000000000000000278e-02, 3.141161683022790641e-01, -4.522536851737576913e-03, 0.000000000000000000e+00
5.500000000000000028e-02, 3.455182035170635824e-01, -5.456359538254875602e-03, 0.000000000000000000e+00
5.999999999999999778e-02, 3.769176156481155449e-01, -6.474578233742652768e-03, 0.000000000000000000e+00
6.500000000000000222e-02, 4.083142054126419063e-01, -7.576401082340257845e-03, 0.000000000000000000e+00
7.000000000000000666e-02, 4.397077798121750702e-01, -8.761035917387265462e-03, 0.000000000000000000e+00
7.499999999999999722e-02, 4.710981520732642758e-01, -1.002769029728713471e-02, 0.000000000000000000e+00
8.000000000000000167e-02, 5.024851415879489913e-01, -1.137557154040123517e-02, 0.000000000000000000e+00
8.500000000000000611e-02, 5.338685738541225634e-01, -1.280388675902487637e-02, 0.000000000000000000e+00
8.999999999999999667e-02, 5.652482804157495933e-01, -1.431184289244253477e-02, 0.000000000000000000e+00
9.500000000000000111e-02, 5.966240988029665182e-01, -1.589864673908460493e-02, 0.000000000000000000e+00
1.000000000000000056e-01, 6.279958724720569041e-01, -1.756350498773266711e-02, 0.000000000000000000e+00
1.049999999999999961e-01, 6.593634507453224325e-01, -1.930562424787787834e-02, 0.000000000000000000e+00
1.100000000000000006e-01, 6.907266887508682895e-01, -2.112421107918789967e-02, 0.000000000000000000e+00
