xi, x, y, z
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
5.000000000000000104e-03, 3.141592653589793394e-02, 0.000000000000000000e+00, 0.000000000000000000e+00
1.000000000000000021e-02, 6.283185307179584012e-02, 0.000000000000000000e+00, 0.000000000000000000e+00
1.499999999999999944e-02, 9.424777960769376017e-02, 0.000000000000000000e+00, 0.000000000000000000e+00
2.000000000000000042e-02, 1.256637061435917357e-01, 0.000000000000000000e+00, 0.000000000000000000e+00
2.500000000000000139e-02, 1.570796326794896558e-01, 0.000000000000000000e+00, 0.000000000000000000e+00
2.999999999999999889e-02, 1.884955592153875759e-01, 0.000000000000000000e+00, 0.000000000000000000e+00
3.500000000000000333e-02, 2.199114857512855514e-01, 0.000000000000000000e+00, 0.000000000000000000e+00
4.000000000000000083e-02, 2.513274122871834160e-01, 0.000000000000000000e+00, 0.000000000000000000e+00
4.499999999999999833e-02, 2.827433388230813915e-01, 0.000000000000000000e+00, 0.000000000000000000e+00
5.000000000000000278e-02, 3.141592653589793671e-01, 0.000000000000000000e+00, 0.000000000000000000e+00
5.500000000000000028e-02, 3.455751918948771761e-01, 0.000000000000000000e+00, 0.000000000000000000e+00
5.999999999999999778e-02, 3.769911184307752072e-01, 0.000000000000000000e+00, 0.000000000000000000e+00
6.500000000000000222e-02, 4.084070449666731828e-01, 0.000000000000000000e+00, 0.000000000000000000e+00
7.000000000000000666e-02, 4.398229715025710473e-01, 0.000000000000000000e+00, 0.000000000000000000e+00
7.499999999999999722e-02, 4.712388980384689119e-01, 0.000000000000000000e+00, 0.000000000000000000e+00
8.000000000000000167e-02, 5.026548245743669430e-01, 0.000000000000000000e+00, 0.000000000000000000e+00
8.500000000000000611e-02, 5.340707511102646965e-01, 0.000000000000000000e+00, 0.000000000000000000e+00
8.999999999999999667e-02, 5.654866776461626721e-01, 0.000000000000000000e+00, 0.000000000000000000e+00
9.500000000000000111e-02, 5.969026041820606476e-01, 0.000000000000000000e+00, 0.000000000000000000e+00
1.000000000000000056e-01, 6.283185307179586232e-01, 0.000000000000000000e+00, 0.000000000000000000e+00
1.049999999999999961e-01, 6.597344572538565988e-01, 0.000000000000000000e+00, 0.000000000000000000e+00
1.100000000000000006e-01, 6.911503837897545743e-01, 0.000000000000000000e+00, 0.000000000000000000e+00
1.150000000000000050e-01, 7.225663103256525499e-01, 0.000000000000000000e+00, 0.000000000000000000e+00
1.199999999999999956e-01, 7.539822368615503034e-01, 0.000000000000000000e+00, 0.000000000000000000e+00
1.250000000000000000e-01, 7.853981633974482790e-01, 0.000000000000000000e+00, 0.000000000000000000e+00
1.300000000000000044e-01, 8.168140899333461435e-01, 0.000000000000000000e+00, 0.000000000000000000e+00
1.350000000000000089e-01, 8.482300164692442301e-01, 0.000000000000000000e+00, 0.000000000000000000e+00
1.400000000000000133e-01, 8.796459430051420947e-01, 0.000000000000000000e+00, 0.000000000000000000e+00
1.449999999999999900e-01, 9.110618695410399592e-01, 0.000000000000000000e+00, 0.000000000000000000e+00
1.499999999999999944e-01, 9.424777960769378238e-01, 0.000000000000000000e+00, 0.000000000000000000e+00
1.549999999999999989e-01, 9.738937226128359104e-01, 0.000000000000000000e+00, 0.000000000000000000e+00
1.600000000000000033e-01, 1.005309649148733886e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
1.650000000000000078e-01, 1.036725575684631639e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
1.700000000000000122e-01, 1.068141502220529837e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
1.750000000000000167e-01, 1.099557428756427813e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
1.799999999999999933e-01, 1.130973355292325344e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
1.849999999999999978e-01, 1.162389281828223542e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
1.900000000000000022e-01, 1.193805208364121295e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
1.950000000000000067e-01, 1.225221134900019493e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
2.000000000000000111e-01, 1.256637061435917246e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
2.050000000000000155e-01, 1.288052987971815222e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
2.099999999999999922e-01, 1.319468914507713198e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
2.149999999999999967e-01, 1.350884841043610951e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
2.200000000000000011e-01, 1.382300767579509149e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
2.250000000000000056e-01, 1.413716694115406902e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
2.300000000000000100e-01, 1.445132620651305100e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
2.350000000000000144e-01, 1.476548547187202853e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
2.399999999999999911e-01, 1.507964473723100607e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
2.449999999999999956e-01, 1.539380400258998582e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
2.500000000000000000e-01, 1.570796326794896558e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
2.550000000000000044e-01, 1.602212253330794534e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
2.600000000000000089e-01, 1.633628179866692287e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
2.650000000000000133e-01, 1.665044106402590263e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
2.700000000000000178e-01, 1.696460032938488238e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
2.750000000000000222e-01, 1.727875959474386436e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
2.800000000000000266e-01, 1.759291886010284411e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
2.850000000000000311e-01, 1.790707812546182609e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
2.899999999999999800e-01, 1.822123739082079474e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
2.949999999999999845e-01, 1.853539665617977672e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
2.999999999999999889e-01, 1.884955592153875426e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
3.049999999999999933e-01, 1.916371518689773623e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
3.099999999999999978e-01, 1.947787445225671821e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
3.150000000000000022e-01, 1.979203371761570018e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
3.200000000000000067e-01, 2.010619298297467328e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
3.250000000000000111e-01, 2.042035224833365525e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
3.300000000000000155e-01, 2.073451151369263723e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
3.350000000000000200e-01, 2.104867077905161477e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
3.400000000000000244e-01, 2.136283004441059674e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
3.450000000000000289e-01, 2.167698930976957428e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
3.500000000000000333e-01, 2.199114857512855181e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
3.549999999999999822e-01, 2.230530784048752935e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
3.599999999999999867e-01, 2.261946710584650688e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
3.649999999999999911e-01, 2.293362637120548886e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
3.699999999999999956e-01, 2.324778563656447083e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
3.750000000000000000e-01, 2.356194490192344837e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
3.800000000000000044e-01, 2.387610416728243035e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
3.850000000000000089e-01, 2.419026343264141232e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
3.900000000000000133e-01, 2.450442269800038542e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
3.950000000000000178e-01, 2.481858196335936739e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
4.000000000000000222e-01, 2.513274122871834937e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
4.050000000000000266e-01, 2.544690049407732690e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
4.100000000000000311e-01, 2.576105975943630888e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
4.150000000000000355e-01, 2.607521902479528642e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
4.199999999999999845e-01, 2.638937829015426395e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
4.249999999999999889e-01, 2.670353755551324149e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
4.299999999999999933e-01, 2.701769682087221902e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
4.349999999999999978e-01, 2.733185608623119656e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
4.400000000000000022e-01, 2.764601535159018297e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
4.450000000000000067e-01, 2.796017461694916051e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
4.500000000000000111e-01, 2.827433388230813804e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
4.550000000000000155e-01, 2.858849314766711558e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
4.600000000000000200e-01, 2.890265241302609311e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
4.650000000000000244e-01, 2.921681167838507509e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
4.700000000000000289e-01, 2.953097094374405707e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
4.750000000000000333e-01, 2.984513020910303904e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
4.799999999999999822e-01, 3.015928947446201214e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
4.849999999999999867e-01, 3.047344873982098967e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
4.899999999999999911e-01, 3.078760800517997165e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
4.949999999999999956e-01, 3.110176727053894918e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
5.000000000000000000e-01, 3.141592653589793116e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
5.050000000000000044e-01, 3.173008580125691314e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
5.100000000000000089e-01, 3.204424506661588623e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
5.150000000000000133e-01, 3.235840433197486821e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
5.200000000000000178e-01, 3.267256359733385018e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
5.250000000000000222e-01, 3.298672286269283216e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
5.300000000000000266e-01, 3.330088212805180969e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
5.350000000000000311e-01, 3.361504139341078723e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
5.400000000000000355e-01, 3.392920065876976921e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
5.450000000000000400e-01, 3.424335992412875118e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
5.500000000000000444e-01, 3.455751918948772428e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
5.550000000000000488e-01, 3.487167845484671069e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
5.600000000000000533e-01, 3.518583772020568823e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
5.650000000000000577e-01, 3.549999698556466576e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
5.700000000000000622e-01, 3.581415625092364330e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
5.750000000000000666e-01, 3.612831551628262972e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
5.799999999999999600e-01, 3.644247478164159393e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
5.849999999999999645e-01, 3.675663404700057590e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
5.899999999999999689e-01, 3.707079331235955788e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
5.949999999999999734e-01, 3.738495257771853542e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
5.999999999999999778e-01, 3.769911184307752183e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
6.049999999999999822e-01, 3.801327110843649937e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
6.099999999999999867e-01, 3.832743037379546802e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
6.149999999999999911e-01, 3.864158963915445888e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
6.199999999999999956e-01, 3.895574890451343641e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
6.250000000000000000e-01, 3.926990816987241395e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
6.300000000000000044e-01, 3.958406743523139149e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
6.350000000000000089e-01, 3.989822670059037790e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
6.400000000000000133e-01, 4.021238596594935544e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
6.450000000000000178e-01, 4.052654523130832409e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
6.500000000000000222e-01, 4.084070449666731051e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
6.550000000000000266e-01, 4.115486376202629693e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
6.600000000000000311e-01, 4.146902302738527446e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
6.650000000000000355e-01, 4.178318229274425200e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
6.700000000000000400e-01, 4.209734155810322953e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
6.750000000000000444e-01, 4.241150082346220707e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
6.800000000000000488e-01, 4.272566008882119348e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
6.850000000000000533e-01, 4.303981935418017102e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
6.900000000000000577e-01, 4.335397861953914855e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
6.950000000000000622e-01, 4.366813788489812609e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
7.000000000000000666e-01, 4.398229715025710362e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
7.049999999999999600e-01, 4.429645641561608116e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
7.099999999999999645e-01, 4.461061568097505869e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
7.149999999999999689e-01, 4.492477494633403623e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
7.199999999999999734e-01, 4.523893421169302265e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
7.249999999999999778e-01, 4.555309347705200018e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
7.299999999999999822e-01, 4.586725274241097772e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
7.349999999999999867e-01, 4.618141200776995525e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
7.399999999999999911e-01, 4.649557127312894167e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
7.449999999999999956e-01, 4.680973053848791032e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
7.500000000000000000e-01, 4.712388980384689674e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
7.550000000000000044e-01, 4.743804906920587428e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
7.600000000000000089e-01, 4.775220833456485181e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
7.650000000000000133e-01, 4.806636759992382935e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
7.700000000000000178e-01, 4.838052686528280688e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
7.750000000000000222e-01, 4.869468613064179330e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
7.800000000000000266e-01, 4.900884539600077971e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
7.850000000000000311e-01, 4.932300466135975725e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
7.900000000000000355e-01, 4.963716392671872590e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
7.950000000000000400e-01, 4.995132319207771232e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
8.000000000000000444e-01, 5.026548245743669874e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
8.050000000000000488e-01, 5.057964172279567627e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
8.100000000000000533e-01, 5.089380098815465381e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
8.150000000000000577e-01, 5.120796025351363134e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
8.200000000000000622e-01, 5.152211951887260888e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
8.250000000000000666e-01, 5.183627878423159530e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
8.300000000000000711e-01, 5.215043804959056395e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
8.349999999999999645e-01, 5.246459731494954148e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
8.399999999999999689e-01, 5.277875658030852790e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
8.449999999999999734e-01, 5.309291584566750544e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
8.499999999999999778e-01, 5.340707511102647409e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
8.549999999999999822e-01, 5.372123437638546051e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
8.599999999999999867e-01, 5.403539364174443804e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
8.649999999999999911e-01, 5.434955290710342446e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
8.699999999999999956e-01, 5.466371217246240199e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
8.750000000000000000e-01, 5.497787143782137953e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
8.800000000000000044e-01, 5.529203070318035707e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
8.850000000000000089e-01, 5.560618996853934348e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
8.900000000000000133e-01, 5.592034923389832102e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
8.950000000000000178e-01, 5.623450849925729855e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
9.000000000000000222e-01, 5.654866776461627609e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
9.050000000000000266e-01, 5.686282702997526250e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
9.100000000000000311e-01, 5.717698629533424004e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
9.150000000000000355e-01, 5.749114556069321758e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
9.200000000000000400e-01, 5.780530482605219511e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
9.250000000000000444e-01, 5.811946409141117265e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
9.300000000000000488e-01, 5.843362335677015018e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
9.350000000000000533e-01, 5.874778262212913660e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
9.400000000000000577e-01, 5.906194188748811413e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
9.450000000000000622e-01, 5.937610115284709167e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
9.500000000000000666e-01, 5.969026041820607809e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
9.550000000000000711e-01, 6.000441968356504674e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
9.599999999999999645e-01, 6.031857894892403316e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
9.649999999999999689e-01, 6.063273821428301957e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
9.699999999999999734e-01, 6.094689747964199711e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
9.749999999999999778e-01, 6.126105674500095688e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
