xi, x, y, z
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
5.000000000000000104e-03, 3.128859345410166942e-02, -1.814052569735891823e-02, 0.000000000000000000e+00
1.000000000000000021e-02, 6.235070644473699603e-02, -3.653021535329336461e-02, 0.000000000000000000e+00
1.499999999999999944e-02, 9.318633897190600757e-02, -5.516906896780332525e-02, 0.000000000000000000e+00
2.000000000000000042e-02, 1.237954910356087318e-01, -7.405708654088886955e-02, 0.000000000000000000e+00
2.500000000000000139e-02, 1.541781626358451063e-01, -9.319426807254986567e-02, 0.000000000000000000e+00
2.999999999999999889e-02, 1.843343537726151171e-01, -1.125806135627864385e-01, 0.000000000000000000e+00
3.500000000000000333e-02, 2.142640644459188615e-01, -1.322161230115985187e-01, 0.000000000000000000e+00
4.000000000000000083e-02, 2.439672946557562005e-01, -1.521007964189861617e-01, 0.000000000000000000e+00
4.499999999999999833e-02, 2.734440444021273287e-01, -1.722346337849493259e-01, 0.000000000000000000e+00
5.000000000000000278e-02, 3.026943136850321348e-01, -1.926176351094880390e-01, 0.000000000000000000e+00
5.500000000000000028e-02, 3.317181025044704246e-01, -2.132498003926021346e-01, 0.000000000000000000e+00
5.999999999999999778e-02, 3.605154108604425867e-01, -2.341311296342919734e-01, 0.000000000000000000e+00
6.500000000000000222e-02, 3.890862387529483435e-01, -2.552616228345572225e-01, 0.000000000000000000e+00
7.000000000000000666e-02, 4.174305861819878061e-01, -2.766412799933980482e-01, 0.000000000000000000e+00
7.499999999999999722e-02, 4.455484531475608634e-01, -2.982701011108143119e-01, 0.000000000000000000e+00
8.000000000000000167e-02, 4.734398396496676265e-01, -3.201480861868061245e-01, 0.000000000000000000e+00
8.500000000000000611e-02, 5.011047456883079843e-01, -3.422752352213734861e-01, 0.000000000000000000e+00
8.999999999999999667e-02, 5.285431712634821588e-01, -3.646515482145163967e-01, 0.000000000000000000e+00
9.500000000000000111e-02, 5.557551163751900392e-01, -3.872770251662348562e-01, 0.000000000000000000e+00
1.000000000000000056e-01, 5.827405810234315142e-01, -4.101516660765288647e-01, 0.000000000000000000e+00
1.049999999999999961e-01, 6.094995652082066950e-01, -4.332754709453983111e-01, 0.000000000000000000e+00
1.100000000000000006e-01, 6.360320689295155816e-01, -4.566484397728434730e-01, 0.000000000000000000e+00
1.150000000000000050e-01, 6.623380921873580629e-01, -4.802705725588639618e-01, 0.000000000000000000e+00
1.199999999999999956e-01, 6.884176349817341389e-01, -5.041418693034599441e-01, 0.000000000000000000e+00
1.250000000000000000e-01, 7.142706973126440317e-01, -5.282623300066315863e-01, 0.000000000000000000e+00
1.300000000000000044e-01, 7.398972791800875193e-01, -5.526319546683786665e-01, 0.000000000000000000e+00
1.350000000000000089e-01, 7.652973805840648236e-01, -5.772507432887015177e-01, 0.000000000000000000e+00
1.400000000000000133e-01, 7.904710015245757226e-01, -6.021186958675996959e-01, 0.000000000000000000e+00
1.449999999999999900e-01, 8.154181420016201054e-01, -6.272358124050732009e-01, 0.000000000000000000e+00
1.499999999999999944e-01, 8.401388020151984160e-01, -6.526020929011224769e-01, 0.000000000000000000e+00
1.549999999999999989e-01, 8.646329815653103212e-01, -6.782175373557473019e-01, 0.000000000000000000e+00
1.600000000000000033e-01, 8.889006806519559323e-01, -7.040821457689476759e-01, 0.000000000000000000e+00
1.650000000000000078e-01, 9.129418992751351380e-01, -7.301959181407234878e-01, 0.000000000000000000e+00
1.700000000000000122e-01, 9.367566374348481606e-01, -7.565588544710749597e-01, 0.000000000000000000e+00
1.750000000000000167e-01, 9.603448951310946669e-01, -7.831709547600018695e-01, 0.000000000000000000e+00
1.799999999999999933e-01, 9.837066723638749899e-01, -8.100322190075042172e-01, 0.000000000000000000e+00
1.849999999999999978e-01, 1.006841969133188908e+00, -8.371426472135821140e-01, 0.000000000000000000e+00
1.900000000000000022e-01, 1.029750785439036420e+00, -8.645022393782355596e-01, 0.000000000000000000e+00
1.950000000000000067e-01, 1.052433121281417971e+00, -8.921109955014645543e-01, 0.000000000000000000e+00
2.000000000000000111e-01, 1.074888976660332673e+00, -9.199689155832690979e-01, 0.000000000000000000e+00
2.050000000000000155e-01, 1.097118351575781414e+00, -9.480759996236493015e-01, 0.000000000000000000e+00
2.099999999999999922e-01, 1.119121246027763750e+00, -9.764322476226048320e-01, 0.000000000000000000e+00
2.149999999999999967e-01, 1.140897660016279680e+00, -1.005037659580136022e+00, 0.000000000000000000e+00
2.200000000000000011e-01, 1.162447593541329427e+00, -1.033892235496242762e+00, 0.000000000000000000e+00
2.250000000000000056e-01, 1.183771046602912769e+00, -1.062995975370924828e+00, 0.000000000000000000e+00
2.300000000000000100e-01, 1.204868019201029927e+00, -1.092348879204182666e+00, 0.000000000000000000e+00
2.350000000000000144e-01, 1.225738511335680681e+00, -1.121950946996015830e+00, 0.000000000000000000e+00
2.399999999999999911e-01, 1.246382523006864806e+00, -1.151802178746424321e+00, 0.000000000000000000e+00
2.449999999999999956e-01, 1.266800054214582749e+00, -1.181902574455408805e+00, 0.000000000000000000e+00
2.500000000000000000e-01, 1.286991104958834509e+00, -1.212252134122968616e+00, 0.000000000000000000e+00
2.550000000000000044e-01, 1.307074436423815156e+00, -1.241845526619875573e+00, 0.000000000000000000e+00
2.600000000000000089e-01, 1.327095961722927431e+00, -1.271472702962108681e+00, 0.000000000000000000e+00
2.650000000000000133e-01, 1.347055680856171112e+00, -1.301133663149668385e+00, 0.000000000000000000e+00
2.700000000000000178e-01, 1.366953593823546198e+00, -1.330828407182554685e+00, 0.000000000000000000e+00
2.750000000000000222e-01, 1.386789700625052468e+00, -1.360556935060767803e+00, 0.000000000000000000e+00
2.800000000000000266e-01, 1.406564001260690810e+00, -1.390319246784307072e+00, 0.000000000000000000e+00
2.850000000000000311e-01, 1.426276495730460114e+00, -1.420115342353173160e+00, 0.000000000000000000e+00
2.899999999999999800e-01, 1.445927184034360602e+00, -1.449945221767364734e+00, 0.000000000000000000e+00
2.949999999999999845e-01, 1.465516066172393383e+00, -1.479808885026883569e+00, 0.000000000000000000e+00
2.999999999999999889e-01, 1.485043142144557127e+00, -1.509706332131729001e+00, 0.000000000000000000e+00
3.049999999999999933e-01, 1.504508411950852054e+00, -1.539637563081901028e+00, 0.000000000000000000e+00
3.099999999999999978e-01, 1.523911875591279053e+00, -1.569602577877399208e+00, 0.000000000000000000e+00
3.150000000000000022e-01, 1.543253533065837013e+00, -1.599601376518224427e+00, 0.000000000000000000e+00
3.200000000000000067e-01, 1.562533384374526602e+00, -1.629633959004375798e+00, 0.000000000000000000e+00
3.250000000000000111e-01, 1.581751429517348040e+00, -1.659700325335853544e+00, 0.000000000000000000e+00
3.300000000000000155e-01, 1.600907668494300218e+00, -1.689800475512657663e+00, 0.000000000000000000e+00
3.350000000000000200e-01, 1.620002101305384468e+00, -1.719934409534788822e+00, 0.000000000000000000e+00
3.400000000000000244e-01, 1.639034727950599679e+00, -1.750102127402246133e+00, 0.000000000000000000e+00
