time, x, y, z
0.000000000000000000e+00, 6.283185307179586232e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
2.500000000000000139e-02, 6.277089933193129134e+00, -2.899562277560335799e-01, 0.000000000000000000e+00
5.000000000000000278e-02, 6.259164599150744301e+00, -5.756877951348812195e-01, 0.000000000000000000e+00
7.500000000000001110e-02, 6.230423234858733395e+00, -8.534189393761457687e-01, 0.000000000000000000e+00
1.000000000000000056e-01, 6.192353632224368631e+00, -1.120153984198261066e+00, 0.000000000000000000e+00
1.250000000000000000e-01, 6.146689461442511160e+00, -1.373827996480304847e+00, 0.000000000000000000e+00
1.500000000000000222e-01, 6.095197858107306743e+00, -1.613285502101112545e+00, 0.000000000000000000e+00
1.750000000000000167e-01, 6.039522774887344347e+00, -1.838143253562106283e+00, 0.000000000000000000e+00
2.000000000000000111e-01, 5.981094541139530207e+00, -2.048603148335053969e+00, 0.000000000000000000e+00
2.250000000000000056e-01, 5.921095620512788926e+00, -2.245265975086100596e+00, 0.000000000000000000e+00
2.500000000000000000e-01, 5.860464685052204636e+00, -2.428973832493429796e+00, 0.000000000000000000e+00
2.750000000000000222e-01, 5.799921952232461209e+00, -2.600690421003858166e+00, 0.000000000000000000e+00
3.000000000000000444e-01, 5.740003211159817376e+00, -2.761417332383106160e+00, 0.000000000000000000e+00
3.250000000000000111e-01, 5.681094767283053848e+00, -2.912139708577300201e+00, 0.000000000000000000e+00
3.500000000000000333e-01, 5.623465258923798338e+00, -3.053793732415733153e+00, 0.000000000000000000e+00
3.750000000000000000e-01, 5.567292719881671736e+00, -3.187249312436851945e+00, 0.000000000000000000e+00
4.000000000000000222e-01, 5.512686636413832275e+00, -3.313302790804734332e+00, 0.000000000000000000e+00
4.250000000000000444e-01, 5.459705421181309859e+00, -3.432675932897693016e+00, 0.000000000000000000e+00
4.500000000000000111e-01, 5.408369986905380067e+00, -3.546018625936443680e+00, 0.000000000000000000e+00
4.750000000000000333e-01, 5.358674142442791499e+00, -3.653913586409738734e+00, 0.000000000000000000e+00
5.000000000000000000e-01, 5.310592471210574317e+00, -3.756881991770228968e+00, 0.000000000000000000e+00
5.250000000000000222e-01, 5.264086251427500862e+00, -3.855389370024233209e+00, 0.000000000000000000e+00
5.500000000000000444e-01, 5.219107872419827210e+00, -3.949851356583234718e+00, 0.000000000000000000e+00
5.750000000000000666e-01, 5.175604105974286107e+00, -4.040639105009312892e+00, 0.000000000000000000e+00
6.000000000000000888e-01, 5.133518511489115532e+00, -4.128084249376057002e+00, 0.000000000000000000e+00
6.250000000000000000e-01, 5.092793188860426312e+00, -4.212483383548046412e+00, 0.000000000000000000e+00
6.500000000000000222e-01, 5.053370042018811681e+00, -4.294102062183547730e+00, 0.000000000000000000e+00
6.750000000000000444e-01, 5.015191676528973019e+00, -4.373178349966158507e+00, 0.000000000000000000e+00
7.000000000000000666e-01, 4.978202024413764804e+00, -4.449925956212073430e+00, 0.000000000000000000e+00
7.250000000000000888e-01, 4.942346766362015309e+00, -4.524536995940344752e+00, 0.000000000000000000e+00
7.500000000000000000e-01, 4.907573604069773054e+00, -4.597184418518815541e+00, 0.000000000000000000e+00
7.750000000000000222e-01, 4.873832422325565794e+00, -4.668024142862132742e+00, 0.000000000000000000e+00
8.000000000000000444e-01, 4.841075370550703028e+00, -4.737196934946600990e+00, 0.000000000000000000e+00
8.250000000000000666e-01, 4.809256886053622004e+00, -4.804830059777184914e+00, 0.000000000000000000e+00
8.500000000000000888e-01, 4.778333675649832912e+00, -4.871038736279234449e+00, 0.000000000000000000e+00
8.750000000000000000e-01, 4.748264668079809070e+00, -4.935927420105290508e+00, 0.000000000000000000e+00
9.000000000000000222e-01, 4.719010946482602442e+00, -4.999590936152552345e+00, 0.000000000000000000e+00
9.250000000000000444e-01, 4.690535667794285324e+00, -5.062115479722619327e+00, 0.000000000000000000e+00
9.500000000000000666e-01, 4.662803974143227670e+00, -5.123579502726790302e+00, 0.000000000000000000e+00
9.750000000000000888e-01, 4.635782899962753056e+00, -5.184054499131959481e+00, 0.000000000000000000e+00
1.000000000000000000e+00, 4.609441277526163283e+00, -5.243605701927169349e+00, 0.000000000000000000e+00
