xi, x, y, z
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
5.000000000000000104e-03, 3.144007724393221848e-02, -1.794343032578372184e-03, 0.000000000000000000e+00
1.000000000000000021e-02, 6.287264764784075699e-02, -3.660907311749048154e-03, 0.000000000000000000e+00
1.499999999999999944e-02, 9.429771121172564330e-02, -5.599692837512028343e-03, 0.000000000000000000e+00
2.000000000000000042e-02, 1.257152679355868774e-01, -7.610699609867318388e-03, 0.000000000000000000e+00
2.500000000000000139e-02, 1.571253178194244593e-01, -9.693927628814907882e-03, 0.000000000000000000e+00
2.999999999999999889e-02, 1.885278608632383057e-01, -1.184937689435480376e-02, 0.000000000000000000e+00
3.500000000000000333e-02, 2.199228970670284999e-01, -1.407704740648700603e-02, 0.000000000000000000e+00
4.000000000000000083e-02, 2.513104264307949864e-01, -1.637693916521150775e-02, 0.000000000000000000e+00
4.499999999999999833e-02, 2.826904489545379318e-01, -1.874905217052832626e-02, 0.000000000000000000e+00
5.000000000000000278e-02, 3.140629646382571694e-01, -2.119338642243744422e-02, 0.000000000000000000e+00
5.500000000000000028e-02, 3.454279734819526437e-01, -2.370994192093885469e-02, 0.000000000000000000e+00
5.999999999999999778e-02, 3.767854754856245214e-01, -2.629871866603257849e-02, 0.000000000000000000e+00
6.500000000000000222e-02, 4.081354706492727469e-01, -2.895971665771860867e-02, 0.000000000000000000e+00
7.000000000000000666e-02, 4.394779589728972646e-01, -3.169293589599694178e-02, 0.000000000000000000e+00
7.499999999999999722e-02, 4.708129404564980747e-01, -3.449837638086758473e-02, 0.000000000000000000e+00
8.000000000000000167e-02, 5.021404151000752325e-01, -3.737603811233052020e-02, 0.000000000000000000e+00
8.500000000000000611e-02, 5.334603829036288491e-01, -4.032592109038576900e-02, 0.000000000000000000e+00
8.999999999999999667e-02, 5.647728438671586471e-01, -4.334802531503331724e-02, 0.000000000000000000e+00
9.500000000000000111e-02, 5.960777979906648483e-01, -4.644235078627317881e-02, 0.000000000000000000e+00
1.000000000000000056e-01, 6.273752452741473418e-01, -4.960889750410533289e-02, 0.000000000000000000e+00
1.049999999999999961e-01, 6.586651857176062386e-01, -5.284766546852980723e-02, 0.000000000000000000e+00
1.100000000000000006e-01, 6.899476193210415387e-01, -5.615865467954658102e-02, 0.000000000000000000e+00
1.150000000000000050e-01, 7.212225460844530200e-01, -5.954186513715566120e-02, 0.000000000000000000e+00
1.199999999999999956e-01, 7.524899660078406827e-01, -6.299729684135703389e-02, 0.000000000000000000e+00
1.250000000000000000e-01, 7.837498790912048596e-01, -6.652494979215071991e-02, 0.000000000000000000e+00
1.300000000000000044e-01, 8.150022853345453289e-01, -7.012482398953671925e-02, 0.000000000000000000e+00
1.350000000000000089e-01, 8.462471847378623124e-01, -7.379691943351501804e-02, 0.000000000000000000e+00
1.400000000000000133e-01, 8.774845773011553662e-01, -7.754123612408560240e-02, 0.000000000000000000e+00
1.449999999999999900e-01, 9.087144630244248233e-01, -8.135777406124850009e-02, 0.000000000000000000e+00
1.499999999999999944e-01, 9.399368419076705727e-01, -8.524653324500369722e-02, 0.000000000000000000e+00
1.549999999999999989e-01, 9.711517139508927254e-01, -8.920751367535123544e-02, 0.000000000000000000e+00
1.600000000000000033e-01, 1.002359079154091281e+00, -9.324071535229105923e-02, 0.000000000000000000e+00
1.650000000000000078e-01, 1.033558937517266241e+00, -9.734613827582316858e-02, 0.000000000000000000e+00
1.700000000000000122e-01, 1.064751289040417381e+00, -1.015237824459476190e-01, 0.000000000000000000e+00
1.750000000000000167e-01, 1.095936133723544925e+00, -1.057736478626643412e-01, 0.000000000000000000e+00
